review,translation
"Jeg træner tidligt om morgenen og starter inden der kommer personale. En fin ordning at det kan lade sig gøre. Nu har jeg imidlertid to gange inden for det sidste stykke tid oplevet mit kort er blevet afvist ved en tekniks fejl som jeg ikke kan få en forklaring på. Jeg har fået kortet tjekket og det fejler ikke noget. Jeg må så vente det kvarter der skal gå inden man kan bruge kortet igen. Her er jeg så kommet ind, men det er irriterende. Første gang det sket fik jeg byttet mit medlemskort, men samme fejl gentog sig med det nye.","I am always working out in the morning and beginning before staff arrive. It is nice that this is possible. I have recently tried two times for my card to be declined due to a technical error, which I cannot get an explanation of. I have had my card checked and there is nothing wrong. I have to wait for a 15 minutes untill I could use my card again. I have been let in, but it is frustrating. First time this happened I got a new membership card, but the same error occurred."
"Overskriften er ""Bedøm din seneste oplevelse""......der kunne stå ""de seneste oplevelser""!Helt generelt er jeg MEGET glad for at komme i SATS Vesterport, - men når en maskine først er i stykker ka' det ta' ugevis før den bliver repareret.Jeg har tidligere klaget min nødt ift. samme problem her på Trustpilot, og nu er den gal igen med en maskine hvor reparatøren har været tilkaldt i ugevis. ÆV!","The title is ""Rate your last experience""… it could have said ""last experiences""! in general I am VERY happy attending SATS Vesterport, but when a machine is broken it can take weeks for it to be fixed. I have complained before regarding the same problems here on Trustpilot, and it has happened again where a machine has broken down, and a technician has been called for weeks. Damn it!"
"Rykker på rykker bare forbi kæresten flytter kortDet umuligt at då lov til at betale tilmelder os betaling service men mails med rykker kommer stadig, vi kan ikke ringe til jer og I samarbejder ikke.En skam I har mere fokus på jeres UK ejer ind på os brugere.","Charges on charges due to partner moving. It is impossible to setup automatic payment payment, but more charges are still coming. We have tried calling you and you are not corporating. A shame you are more focused on UK owners that us customers."
"Har nu trænet regelmæssigt i SATS Birkerød i ca 4 måneder. Søde,  imødekommende, hjælpsomme medarbejdere. Gode trænere. Er blevet helt afhængig af deres cykelhold.  Mange forskellige hold. Rent, lækkert og god stemning.  Plads til alle slags mennesker.","Have been training for in SATS Birkerød for around 4 months. Sweet, welcoming and helpful staff. Good trainers. I have gotten addicted to their spinning class. Many different teams. Clean, nice and good vibes. Room for lots of different people."
"Jeg træner i SATS i Nærum og efter Thomas er startet er der virkelig kommet styr på det 👏🏻 Jeg har trænet der i 6 år, hvor lederne er skiftet ud flere gange. MEN nu er der styr på det. Thomas er nærværende og opmærksom, personalet er det samme og man får altid en frisk bemærkning, når man kommer til træning.Her er rent og pænt og styr på alt. En super fornemmelse hver gang jeg træner og det er mindst 5 gange om ugen 😊MvhMona 😊",I train in Nærum and after Thomas startet everything got under control. I have been training for 6 years where the managers have been changing several times. BUT now everything is under control. Thomas is personal and attentive and now that the staff is the same og you always get a nice comment when you go to train. It is clean and nice and everything is under control. A super feeling everytime I go to train and I'm there at least 5 times per week. Best regards Mona.
"Forfærdlig forløb hos sats, Sats sender min til inkasso selvom jeg har givet både min konto og kort oplysninger. Skam jer.hvis jeg kunne give 0, så have jeg gjort det.","Horrible course at sats, Sets sent mine to debt collection even though I gave them both my account and card information. Shame on you. If I could give 0 I would have done that"
Skal betale for en ekstra måned selvom jeg opsagde mit medlemskab inden den 1. i deres skod betingelser står der godt gemt væk at man er bundet +1 måned selv hvis man siger op inden den 1. Dårlig stil,I had to pay for an extra month even though I quit my membership before the 1st. In their shit terms and conditions they hid that you are tied +1 month even if you quit before the 1st. Bad service.
"SATS er helt opdateret og man bliver initialt glad når man er i gode omgivelser. Personalet er altid i mødekommen og pro-aktive også når klokken er 5 om morgenen, hvor jeg primært træner. Jeg træner i Kongens Lyngby. Jeg er Platinum medlem og har over 5000 medlemsdage.Kurt Bech, Kongens Lyngby","Sats has been completely upgraded and it makes you feel like you are in a nice environment. The staff are always friendly and proactive even when it's five in the morning when I'm mostly training. I train in Kongens Lyngby. I am a platium member og I have over 5000 days of me being a member. Kurth Bech, Kongens Lyngby"
"Jeg trænet 4-6 gange ugentligt i flere år, da der er altid et center i nærheden - super nemt 👍Så der er ingen undskyldning for ikke at klemme en hurtig træning ind i en travl hverdag, og stadig holde fast i en sund og aktiv livsstil.Generelt et venligt personale, bredt udvalg af maskiner, samt sjove og effektive hold 😊","I train 4-6 times per week for several weeks and there is always a center nearby - super easy. So there  is no excuse to not get a quick workout in during a busy weekday and still keep a healthy and active lifestyle. Generally a friendly staff, nice selection of machines as well as fun and effektive group training"
Det er altid en stor fornøjelse at træne på Clara’s hold i Helsingør. Hendes energi og gode humør er meget motiverende,It is always a great pleassure to train on Clara's team in Helsingør. Her energi and good sense of humour is very motivating.
"gulver i herrenes bade rum er glat så man skal gå meget forsigtig, så trænger nogle af maskiner udskiftes da de går istykker hele tiden",The floors in the men's bathrooms are slippery so you need to be careful also some of the machines need to be replaced and are always breaking
Den dårligste Santa jeg har set alt den styrke du må ikke så hygiejne 👎🏾👎🏾👎🏾👎🏾👎🏾👎🏾👎🏾👎🏾👎🏾👎🏾👎🏾På Nørrebro,The worst sats I have seen on Nørrebro
"Er kommet tilbage efter sommeren. Ny centerleder, lassesystemet gået ned,ingen tilknyttet personlig træner, parkeringsregler har ændret sig til kortere tiderne.En lidt dårlig start","I have returned back after the summer. New gym leader, the system broke, no personal trainer assigned, parking rules changed to shorter parking times. A kind of bad start"
"Dejlig imødekommende personale, som altid formår at holde centeret rent...Gode brugbare maskiner og godt med plads...Det som kan være irriterende, er at tlf nærmest fylder mere end træningen.. Alt for mange brugere, sidder fordybet i deres tlf imens de bruger maskinerne...Træn når der skal trænes 😀😀😉",Nice friendly staff who always keep a clean training center…Good usable machines and plenty of space…It can be annoying that the phone is almost taking up more time than the training…Way to many users pay attention to their phones while using the machines...Work out when you are supposed to be working out.
"Jeg er ikke medlem, jeg var på vej til at melde mig ind i dag på Rud Langgårdsvej, men pigen i receptionen sagde at jeres boksepude er faldet ned. Når den er oppe igen, så melder jeg mig ind. Lækker hjemmeside/app I har.","I'm not a member, I was about to become one at Rued Langgårsvej but the girl in the reception said that one of your boxing pillows fell down. When it is up again I will sign in. Nice website/app you have"
Jeg startede mit medlemskab i oktober og halvvejs inde ind i måneden vælger jeg at stoppe mit medlemskab fordi jeg stopper på skole i start november men så ser jeg at jeg ikke var meldt ud af ligevel så skulle betal for november men så melde jeg mig ud idag (1/11) også ser jeg at mit medlemskab stopper først den 31/12 så jeg skal betale for 2 måneder jeg ikke kan træne,I started my membership in October and halfway through the month I choose to stop mig membershup because I'm starting school in the beginning of Novermber but then I see that I was not signed out  even though I thought so but I still had to pay for November but then I signed out today (1/11) and I see that my membership doesn't stop until the 31/12 so I have to pay for two months where I can't train.
"Endnu engang beviser PureGym for mig, hvor lidt deres medlemmer betyder. Jeg møder ind i morges for at træne.. Der er to kvinder i bikesalen, som har rigtig højt musik, jeg går så ind og pænt spørger om de ikke vil skrue ned, hvor én af dem udbryder at det jo kun er i en time og at de skal have lov at være her, jeg forklar at det samme gælder mig og hun bliver bare ved med at gentage sig, så jeg går bare ud igen. Senere får jeg en mail med en advarsel pga. min “upassende adværd” og finder så ud af at den ene af de to kvinder var en instruktør. Jeg får slet ikke mulighed for at forsvar mig selv og fortælle min side og prøver at sende en klage til medlemservice, men bliver også afvist og får en kort svar på at de fastholder advarslen. Det er ren princip for mig og det er så uretfærdigt, jeg har været medlem i 10år + og altid opført mig ordentligt. At blive behandlet sådan efter al’ den tid som trofast medlem er fuldstændig for dårligt.Opdatering: Jeg har sendt en mail, men har ikke fået svar på endnu.","Once again PureGym prove to me how little their members mean to them. I go to the gym this morning to train.. There are two women in the bike room who are listening to very loud music, I go in and ask them nicely if they could please turn down the volume where one of them exclaimes that it's only one hour and there has to be room for them as well, I explain that the same should be true for me and he just keeps repeating herself so I just leave again. Later I get an email regarding my  ""inapropiate behavior"" and discover that one of the two women is an instructor. I don't even get the chance to explain myself and my side of the story and I try to send a complaint to customer service but also get rejected and get a short answer that they won't change the warning towards me. This is a pure case of princaple for me and it is so unfair I have been a member for 10+ years and have always behaved well. To get treated like this after all this time and being a faithful member is unfair. Update: I sent them an email but didn't get a response."
"Leg extension virker fortsat ikke. Ellers fungerer tingene i selve træningscentret godt. Personalet er venligt og hilser altid. Jeg er dog utilfreds med omklædning, bad og sauna. Der er meget beskidt og ulækkert. Der lugter ikke godt. Selve saunen har brug for et gennemsyn. Glasdøren lukker ikke til, så der blir ikke rigtig varmt. Der konstant fugtigt derinde og ikke en tør varme som der bør være i en sauna. Træbænken er næsten rådnet op og den nederste del er ved at falde af med søm der kigger frem. Sidst jeg var der var der toiletpapir på gulvet under bænken og gulvet bar præg af ikke at have været rengjort længe. Det er mildest talt uhumsk og ulækkert at bruge jeres faciliteter og prisen taget i betragtning for fitness abonnement hos jer vs. andre tilbud er det ikke i orden. Jeg håber snart det bliver fikset. Vh Jeppe","Leg extension continues to not work. Otherwise everything works well in the training center. The staff are friendly and always say hi. I am, however, dissatisfied with the changing rooms, showers and sauna. It is very dirty and gross. It doesn't smell nice. The sauna itself need a good review. The glass door doesn't close all the way, so it doesn't really get very warm. It is constantly moist in there  and not a dry heat like there should be in a sauna. The wooden bench is almost rotten and you can tell that the floor has not been cleaned for a while. It is mildly speaking disguisting and gross to user your facilities and the price of having a membership with you vs other fitness centers is not okay. I hope it will get fixed soon. Kind regards Jeppe."
Udemærket træningscenter med stort set hvad man skal bruge. Total nedslidt center dog og udstyret også slidt med mangler. Der  er plads til forbedringer.,Fine training center with basically everything you need. It is however very run down and the equiptment is run down and not up to standard. There is room for inprovement
"I perioden da jeg var hos Sats, var det ikke altid at sauna eller den kolde bruser virkede. Kablerne knækkede også ofte, og det tog lang tid inden at det blev fikset. Det har været en periode med sparetider, og en hård økonomi, så det er hvad det er. Dog er det stadig ikke optimalt.Hvad der virkelig ærger mig er, at jeg ikke længere kunne træne, så jeg ville opsige mit abonnoment. Sats tilbyde mig 2 måneders hviletilstand gratis. Det tager jeg imod.Jeg finder ud af, at jeg så ikke længere kan træne, så jeg siger abonnomentet op. Det betyder også, at hviletilstanden opsiges, og at jeg skal betale fra dags dato af +1 måned. Løbende plus en måned er meget normalt, men at de ikke oplyser tydeligt nok, at den hviletilstand de havde tilbudt mig vil blive opsagt skuffer mig meget.Jeg er 20 år, og har altid dyrket sport. Efter at jeg har færdiggjort marathon i start November, vil jeg melde mig ind i fitness igen. At Sats ikke er mere transparent, og at deres kundeservice ikke er til mere hjælp, gør at de mister en kunde, som ellers havde givet mange års indtjening.Edit. Jeg trænede på Nørrebro, så det kan godt være, at de andre steder ikke har lige så mange fejler og mangler.","During the time when I was by Sats, the sauna and cold shower were not always functioning. The cables also often break, and it took a long time before they were fixed. There has been a time of money saving, and a tough economy, so it is what it is. It is still not optimal, though. What is really unfortunate, is that I could not work out anymore, so I wanted to cancel my subscription. Sats offered me 2 months of rest period for free. I accept that. I find out that i cannot work out anymore, so i cancel my subscription. That also means, that the rest period is cancelled, and that I should pay of +1 month as I go from today. Payment as I go plus a month is pretty normal, but that they did not inform me clearly, that the rest period that they offered me would be cancelled disappoints me greatly. I am 20 years old, and have always done sports. After I have finished a marathon in the beginning of November, I will sign up for fitness again. That Sats is not more transparent, and that their customer support is not helpful, makes them lose a customer, that had provided them years of income. Edit. I worked out at Nørrebro, so it is possible that other places don't have as many problems."
"Jeg har desværre i morges haft en ret dårlig oplevelse af jeres kundeservice på Jens Baggesensvej i Aarhus. Jeg træner om morgenen og ankommer til centeret kl.7, hvor jeg finder ud af at jeg desværre har glemt mit kort. Intet problem tænker jeg, for jeg ved jo at der altid er personale som gør rent og fylder vare op mv., som må kunne hjælpe stakkels mig. En personlig træner står bag kassen og tager imod min besked, og går ned til personalet som er igang med rengøringen nedenunder. To minutter senere kommer han tilbage og meddeler, at det kan de desværre ikke hjælpe med da de først betjener kunder fra kl 8, så jeg kunne lige vente en time. Det synes jeg var en elendig oplevelse og jeg kommer til at melde mig ud af centeret på grund af det. Mvh. Steffen","This morning I have unfortunately had a bad experience of your customer service at Jens Baggesensvej in Aarhus. I work out in the morning and I arrive at the gym at 7 o'clock, where I find out I unfortunately have forgotten my card. No problem, I think, because I know there is always staff who clean and put products on shelves etc., who presumably could help poor me. A personal trainer is at the counter and receive my message, and walks down to the staff who are cleaning downstairs. Two minutes later he comes back and informs me, that they unfortunately can't help, since they only serve customers after 8, so I had to wait an hour. I find that to be a terrible experience and I will cancel my subscription because of that. Kind regards, Steffen."
"Sats Frederiksberg falkoner Absurd dårlig service er den første…Absurd Elendig dårlig kundeservice og manglende empatiservice er den første sætning at jeg vælger at indlede denne anmeldelse medEftermiddagen til onsdag Bliver jeg mødt en der hverken siger hej elller hav en god dag, hun har travlt med at snik snakke med sin kollega. Men jeg er blevet bemærket da jeg bliver fuldt efter ind i omklædning, hvor en medarbejder går rundt og kigger, er grænseoverskridende jeg synes er så dårlig stil og ikke mindst utrolig dårlig service. musikken så høj at selv med høretelefoner kan man ikke hører andet en støj og dårlig musik!","Sats Frederiksberg falkoner. Absurdedly bad service the first. Absurd terrible bad customer service and lacking empathy service is the first sentence that I choose to begin this review with. The afternoon wednesday I meet someone who never says hi or have a good day, She is busy with small talk with her colleague. But i get noticed when i am followed into the changing room, where an employee is walking around and looking, crosses personal boundaries and i think it is bad behaviour, and not the least really bad service. The music is so loud that even with headphones, you can't hear anything but noice and bad music."
"Min yndling træningscenter på Nygårdsvej , specielt efter Betina begyndt som centerleder og ikke mindst personale,de gør det virkelig godt.Medlemmer skal være bedre til at rydde op efter dem selv.Evig problem ...:)Men Musikken i centret er ofte meget  meget høj ( i hvert fald tidlig morgen )og det er ofte hip hop og gangsta rap,måske skulle man prøve  musikken der henvender sig til et bredere publikum ,alle har øretelefoner i ørerne alligivel ,musikken kan være så høj at man ikke kan høre sin egen musik i øretelefoner og henvender jeg mig til personale , men de er ikke meget for at skrue ned.","My favorite gym at Nygårdsvej, especially after betine began as gym manager and not the least the staff, they do it really well. Members have to be better at cleaning up after themselves. Eternal problem…:) but the music in the gym is often very very load (at least early in the morning) og it is often hip hop and gangta rap, maybe one should try music that is directed at a wider audience, everyone's wearing headphones anyway, the music can be so loud that you can't hear your own musik in the headphones and if i talk to the staff, but they are not much for turning it down."
"Efter at have været kunde hos SATS og altid betalt min regninger (til overpris) igennem 7 år, skiftede jeg forrige måned mobil efter jeg blev ansat ved en ny virksomhed. Dette medførte at min regning ikke blev betalt til tiden - min fejl 100%. Det næste der skete var dog at SATS direkte sendte mig til Intrum - et inkassofirma af værste skuffe. Super skuffet over behandlingen fra SATS' side. På den anden side rigtig godt at blive gjort klar over hvordan jeg bedre kan bruge 400kr hver måned end på en elendig virksomhed :-)","After being a customer by sats and always having paid my bills (overpriced) throughout 7 years, I got a new cellphone last month after getting anew job. This meant that my bill was not paid in time -- 100% my fault. The next thing that happens was that SATS sent my to Intrum -- a debt repayment firm of the worst kind. Really disappointed in the treatment from SATS. On the other hand really good to be made aware of how i can use 400 kr every month on a terrible firm :-)"
"Jeg betalte for mit medlemsskab for tre dage siden og er har stadig ikke fået en bekræftelse på indmelding eller aktiveret mit medlemsskab. Dette er ikke sket, på trods af at jeg blev forsikret om, at det ville blive gjort i dag, da jeg ringede ind kl 08:30.Det er i forvejen uoptimalt, at man skal vente fra betaling til oprettelsen af medlemskabet, men det giver en endnu dårligere oplevelse, når man bliver stillet noget i udsigt, som ikke bliver til noget.","I paid for my membership three days ago and I still haven't got my confirmation on my sign up or got my membership activated. This hasn't happened, even though I was assured, that I would be done today, when I called at 8:30. It is already suboptimal, that you have to wait from the payment until the establishment of the membership, but it gives an even worse experience, when something is put into view, which doesn't materialize."
"I trænger til nye maskiner, det flyder med papir, toiletterne i omklædningsrummet er ulækre, håndvægte er sat op tilfældigt og nogle gange spredt rundt i centret, andre kunder sætter stort set aldrig vægte på plads.Bortset fra maskinerne kan ovenstående rettes op på ved at begynde at sætte krav til kunderne. F.eks. lave en video om god opførsel i et fitness center.","You need new machines, it is flooding with paper, the toilets in the locker rooms are disgusting, the dumbbells are placed randomly and sometimes spread out around the gym, other customers almost never put the weights back in place. Apart from the machines, the previously mentioned can be corrected by having demands for the customers. Fx. make a video about good behavior in the gym."
Min afd på V Bro Kh er godt indrettet og personalet er imødekommende. Godt råd til kæden: Sats meget mere på +50 årige kunder. Den ene undersøgelse efter den anden dokumentere at styrketræning er den vigtigste søjle til at bevare en bevægelig og rask krop.Satsen kunne være abn tilbud på specielle stille tidspunkter.,My department at V Bro Kh is well furnished and the staff is friendly. A piece of advice for the chain: Bet more on the +50 year old customers. One study after another documents that strength training is the most important pillar for maintaining a mobile and healthy body. The bet could be subscription deals for particular quiet times.
"Fik den værste behandling i Hobro efter center leder har ændret i mit medlemskab. Mit kort virkede ikke, der går 14 dage men trælse sms fra center leder og staff, før kortet virker igen.. centeret er beskidt og flere maskiner er i stykker. Kan ikke anbefale Hobro centeret . Men Gug er super fin.","Got the worst treatment in Hobro after gym manager has changed my memebership. My card did not work, 14 days pass with shitty messages from gym manager and staff, before the card works again... The gym is dirty and multiple machines don't work. Cannot recommend the Hobro gym. But Gug really nice."
"Priserne stiger, mens centrene forfalder mere og mere. :( Mange af redskaberne er virkelig slidte og nogen helt ødelagte. Standarden af centrene varierer også en del, hvilket er trist, når man bor tæt på et center, som ikke bliver prioriteret så meget, men stadig betaler det samme…","The prices are rising, while the gym decays more and more. :( Much of the equipment is really worn out and some are completely broken. The standards of the gyms also vary a lot, which is sad, when you live close by a gym, which isn't being prioritized as much, but you still pay the same amount..."
Dejligt jam dansehold i frb Falkoner 17.45 idag. God energi dygtige nærværende instruktører. Selve centeret er meget slidt og mørkt og dårlige løbebånd . Bliver mit stamcenter valby jeg vil have styrketræning i og håber på flere dansehold,Wonderful jam dance group in frb Falkoner 17:45 today. Good energy competent and present instructors. The gym itself is very worn out and dark and bad treadmills. Will be my regular gym Valby I want strength training and hoping for more dance teams.
"SATS Glostrup's sauna er altid i stykker, 2-3 gange om måneden er den i stykker. Den kolde bruser har heller ikke virket i 2 måneder. Find et andet center hvor disse ting måske virker ellers find en anden udbyder af fitness.","Sats Glostrup's sauna is always broken, 2-3 times a month it is broken. The cold shower has also not worked for 2 months. Find another gym where these things might work otherwise find another gym provider."
"God stemning i Sats  og et utal af træningsmuligheder, men det tager for lang tid med at få repareret og udskiftet defekt udstyr.","Good vibes in Sats and countless ways of working out, but it takes too long to get defective equipment replaced."
"Der er gode maskiner, som dog tit flyttes rundt. Rimeligt gode omklædningsforhold og skabe, hvor der tit mangler bøjler.","There are good machines, that are moved around often, though. Pretty good changing accomodation and lockers, where coat hangers are often missing."
Rent og pænt fitnesscenterLange åbningstider og mange forskellige muligheder for at træne styrke og kondition.,Clean and nice looking gym. Long opening hours and many different possibilities for strength training and cardio.
