ID,text,annotator
98,"I am generally happy with SATS, especially after having better opening hours. Sweet employees and usually good atmosphere on the ""floor."" However, there are some things that could be improved, including faster repair times of defective machines. 2-3 weeks is not all right, but unfortunately often a reality. Besides, you rarely see receptionists more, as these have apparently been given other tasks such as cleaning and cleaning up. I have also seen people go straight into my regular centre several times, without checking in, so unfortunately I also suspect cheating due to the often lack of reception staff. On the wish list is a SATS center in Hillerød:-) Otherwise I am perfectly satisfied with the 2 centres (BLOX and ABC) which I use primarily",all
105,Thanks a lot to Andy from Sats... customer service... he's super helpful... and quickly solved my membership issue.,Bogdan
107,"Great with two directors, it gives a good atmosphere. Good team and talented directors. Unfortunately, the sound snapped a bit along the way and a speaker stopped at some point. However, it was taken care of.It is still a problem with the showers in the locker.",Bogdan
110,"It seems that SATS only focuses on the large centres, for example in inner Copenhagen. I train among others in Vallensbæk. I have trained on the team with functional training for more than 5 years - the director is great. Now the team is closed with the reason that there are not enough participants on the team. No, there are no waiting lists on the team, debt offers quality and social cohesion. That's exactly what the smaller centres can offer, but it's obviously not a factor in SATS unfortunately.",all
112,"I work out in SATS in Nærum and after Thomas has started I've been working out there for 6 years, where the managers have changed out several times. BUT now it's under control. Thomas is present and attentive, the staff is the same and you always get a fresh remark when you come to the training.Here is clean and neat and manage everything. A super feel every time I work out and it's at least 5 times a week •MvhMona •",all
113,"Great center to train in, especially crazy about the sauna(when else it works).",Bogdan
114,"Really delicious machines, good teams, cute employees, value for money, but there could be a need for some extra cleaning in the lady dress in general. Perhaps this is because most men are employed, which therefore does not access the dressing room just as much? But overall it is Nice",all
117,"I have had the most amazing experience at the Sats gym, and I would like to share my enthusiasm. The whole experience has been extremely positive and I would like to thank Andy from customer service. Andy has been extraordinary in helping me with my questions and concerns. His professional and friendly attitude has made all the difference. From start to finish he has been available to answer my questions and make sure that I feel welcome and well taken care of.I cannot stress enough how much I appreciate the excellent service I have received from Andy and the rest of the Sats team.",Bogdan
120,Experience the morning of Thursday that an employee or more playing with one's membership so you can't get in it happened several times that not everyone is welcome in Sats in Valby!!,Bogdan
121,"Arriving on SATS Glostrup. Now 1/3 of the spinning bikes have not been operational for six months, and the rest have not been maintained. If it wasn't for the instructors then I would have stopped my membership.",all
127,"Beware! It doesn't matter how long you are paying member, SATS will cheat you. Smooth billing practices and willingness to go through customers who have been loyal for years without notice when they turn up.",Bogdan
129,"(The review is written after 8 visits to the center over period of two months. In addition, I have a roommate who uses the center considerably more often, who has the same experience) There is a lack of general management of the center, otherwise it wouldn't be so bad... There is a lack of consistent hand alcohol in half of dispensations. - All toilets are grossly disgusting. It looks like no toilets are checked more than 2-3 times a day, which is absurd when you think of the amount of people who use the center daily. Staff should go a round every hour in peak hours, but move rarely from the counter, even when there are more at work. In addition, the toilets smell like a lack of basic cleaning (other than emptying the trash can and cleaning mirror) - no water vending machines, which means that you are forced into disgusting toilets to fill your small water bottle. - Several cabinets in the men's dressing room do not work, which means that it can be difficult to find a closet in any way.",all
132,"SATS Glostrup's sauna is always broken, 2-3 times a month it's broken. The cold shower hasn't worked for 2 months either. Find another center!!",all
133,"SATS Frederiksberg.Lovely center, good and pleasant people.The only minus is that most showers have a very low pressure. Otherwise there is not a finger to put.",Bogdan
134,"SATS Glostrup's sauna is always broken, 2-3 times a month it is broken. The cold shower hasn't worked for 2 months either. Find another center where these things might work otherwise find another provider of fitness.",all
136,Good machines - friendly staff - good opening hours - nice that I can take the son with me. Isn't it possible you get a family membership at some point. And an ounce repair of machines shouldn't take two weeks.,Bogdan
137,It is impossible to cancel your subscription regardless of whether I'm physically addressing or trying on the website. Being referred to to try and it doesn't work,Bogdan
138,Training fineBut still no steam bath - but micro sauna. Come on Sats - show that you can offer a little more. What happens there - excuse about high electricity price - does not work,Bogdan
139,"Keeping an eye on your bills - SATS likes to add extra payments without informing you about it.Your systems are in such a poor condition that they remove campaign benefits. In my case, it gave an extra bill on a month's subscription. Furthermore, they provide in the centers a wrong guide when it comes to setting up payment methods. If you sign up after 14th of the month, you must add payment methods to the center so that they can use the chosen method for the coming month. I was told in the center that I should just have done it before the next 14.Your payment department by phone is fairly cold and indifferent to their centers providing incorrect information upon registration. As well as that their systems impose extra payment without it being written anywhere.All in all this is not a business that I personally would trust. They cheat their customers and disbelieve all responsibility.",all
140,Have of 2 laps experienced that they withdraw money even though I have put my subscriber on hold,all
141,I'm impressed by our bike instructor Per Bille he is superbly skilled and can draw full house.Pump.Dangerous to let a not finished pump instructor teach. It happens on Mondays where non-trained instructor teaches.I get worried.negative due to cleaning and bathing conditions. Unfortunately.,all
142,"I enjoy being on Pernille's yoga team, just as I enjoy training alone.",all
143,"There are several of us who have been asking for a yoga team in Glostrup for several months now, but nothing happens. I know that there are many interested people, so I don't understand why one isn't being created? I've been on well-visited yoga teams in Glostrup before, and I really miss it very much!",Bogdan
147,The worst Santa I've seen all the strength you can't see hygiene on Nørrebro,Bogdan
148,"Has come back after the summer. New center manager, the lasse system crashed, no attached personal trainer, parking rules have changed to shorter times.A little bad start",Bogdan
149,"Sats westernport Absurd bad service is the first...Absurd Bad service is the first theorem that I choose to start this review withThe evening to Wednesday I'll be met someone who doesn't say hello orler have a good day, she's busy talking to her colleague. seems so bad style and not least incredibly bad service.",all
150,"Sats Frederiksberg falcones Absurd bad service is the first...Absurd Bad customer service and lack of empathy service is the first sentence that I choose to start this review withAfter noon for Wednesday I get to meet someone who doesn't say hello or have a good day, she's busy talking to her colleague. But I've been noticed when I get full after into changing, where an employee is walking around and looking, I think is so bad style and not least incredibly bad service.The music so loud that even with earphones you can't hear anything else a noise and bad music!",Bogdan
151,Because of illness I didn't need my membership and was recommended to suspend it for 45kr a month. After 1 month I would then cancel completely and then get to know that I can only by paying a full month regardless I can't make use of it. I have then paid for 2 months plus a month in suspension and I haven't been to the center once!!-----updated 24-8. Sats has after the above contacted me and we have found a solution that satisfies us.,all
155,Be onest a least,all
156,"Current 40% student discount should have been added to already student members, too badly made by you.",Bogdan
158,"It looks worn out. Again machines that are out of service (3 pieces), machines that are rusted and machines that are removed",all
159,There's still a lot of treadmills out of service...... get 'em done or get 'em out of the way...,all
160,It is always a pleasure - for body and soul - to participate in Janicke's hours on Wednesdays. You feel SO well afterwards.,Bogdan
169,"Generally speaking, SATS Valby is a good place to train. They could invest in a little more weightlifting equipment, but it's a small thing. However, they have massive problems with people who don't clean up after themselves. The place is often one big mess where I have to clean up other people's mess before I can get started with my own training.",all
170,"Sats are both and.On the positive side are equipped well and new and there is plenty of space between machines and benches, and the staff are always smiling and friendly.On the negative side. Take headphones with you. SATS insists on playing infinite monotonous counters cover very high, so if you're not in the mood for the sound of high school celebration, bring your own music with you.And it draws a lot in most centers and in all spinnigsals, then bring a jacket to your training",Bogdan
172,"They closed the steam bath, had bigger construction and still raised the price. And after all, I have to pay an extra month just to quit. Terrible business, unhelpful customer service.",all
173,It is delicious and clean in SATS Birkerød. They have a very good selection of machines,all
174,"Fucking dirty centers, poor quality of machines and farmer-catching subscription system. Prefers at any time PureGym. Here the prices are cheaper, being taken better care of the cleaning, one hardly finds that the same machine is defective twice in a week and even with an all-inclusive membership that involves one free product from the refrigerating machine every day, PureGym is still cheaper",Bogdan
177,Training is good enough! But clearly bad that there is almost no team is more!! TRX away from the Fish Square really bad it was a super team!!! You have to jump around between places it is straining,all
183,I have been on teams in Abc and Falkoner since 2004. Can very highly recommend!!!,all
187,Solid training with Jacob.We gave it gasCan be recommended,all
188,"Incoming personnel, clean rooms and machines, no mess.",all
189,Again Karen in Herlev is the best and sweetest instructor •,all
190,"I paid for my membership three days ago and still haven't received a confirmation of registration or activated my membership. This hasn't happened, despite the fact that I was assured that it would be done today when I called in at 08:30.It's already impeccable that you have to wait from payment to the creation of membership, but it gives an even worse experience when you are given a prospect that doesn't happen.",all
191,"Nice selection for machinery equipment etc. however, unfortunately too hot, summer as winter. Also poor cleaning by machinery and equipment.",all
193,"This review is valid for SATS Falkones at Frederiksberg.There are too many trainers in outdoor shoes and who don't change at all, and if they do, they don't do it in the dressing room, but in the training room, or in the halls for team training. It makes the floor dirty, and it's a little sad when you get yourself into clean indoor shoes. There are also some lockers in the lockers where the doors are pulled off. They have been for months, therefore it would be nice to have them put back on again.There is either no air conditioning in the first part of the center, where machines are trained, or also it doesn't work.The music in the center is often Ganta rap, or hip hop. Thinking more that you should try much music that goes to a wider audience. The group of young people who hear that kind of music doesn't already have earphones in their ears, so they don't hear it ",Bogdan
194,"I am pleased with the positive development of team plan in Vallensbæk center. We have got one of the best instructors/hours within Pilates (Zsusanna) and Stram op (Janni). In addition, I am pleased with an energetic Body Jam (Annetta).",all
196,There could be 1-3 rowing machines underneath. +2-3 hand bike trainers in SATS Valby.,all
197,There is a good atmosphere and the teams I go on are super intensive. I feel comfortable when I've trainedRødovre - absolution and bodypump with Grethe Ziegler,all
198,"The indoor climate in SATS valby is so poor that it is tragic.The problem has supposedly been going on for many years.I am incomprehensible that you are content with this obvious problem when you have the country's most expensive subscription prices.The unhealthy indoor climate creates discomfort and great discomfort for the training course, and it can be felt very much by all visitors.Get control of your ventilation system! It is the least you have to offer your members. An indoor climate with heavy, humid air can bother the airways, and it is under all criticism that a fitness centre completely neglects this.",all
199,"Now this center at Frederiksberg Everyone soon had a sauna theme throughout the center for a month, now get the ventilation system done.",all
202,"Have now trained regularly in SATS Birkerød for about 4 months. Sweet, welcoming, helpful employees. Good trainers. Has become completely dependent on their bike team. Many different teams. Clean, delicious and good atmosphere. Space for all kinds of people.",Bogdan
203,Always nice to get past SATS in Frederikssund.,Bogdan
204,"Terrible course with the rate, Sats sends mine to the debt collection even though I have given both my account and short information. Shame you.If I could give 0, then I would have done it.",all
208,Love this gym! Best instructors and facilities. Only FW gym on Funen that has Crossfit classes. Very good and big crossfit area as well,all
211,"Good equipment , not a busy location so it’s great. Staff friendly 😊",all
214,"Friendly staff, good instructors and nice bathing conditions",all
216,"Ventilation in the summer is terrible, otherwise decent place",all
219,"Clean, nicely structured, good and well maintained equipment! 2 thumbs up.",all
222,"Big gym with everything what you need. Between 8-11 in the morning, gym is almost empty, which is nice. Have separate small room for doing floor exercises without being seen",Bogdan
225,Tidy and has everything you need,Bogdan
226,"Good gym with a very varied set of available equipment. Prices are cheap and it is open 24/7 with card access. Combined with good cleanliness and friendly staff, it's a good place to get in the daily workout.

Note that unlike most other gyms in the area, this particular Fitness World allows a cheaper membership that is ONLY valid for this one location. If you don't want access to multiple locations, this can yield extra savings.",all
227,"Every thing nice except toilets... discussing, all the time smell and look like sh**. I understand people sweat (including me) at gym and that don’t bother me. This toilets beg for ventilation!!!",Bogdan
228,"The center at Dannebrosgade made my subscription go from 99 kr, to 259 kr. An increase of 161% the price.

They try to buy every succesfull center in Odense, to dominate the market, and then it becomes worse from there.

They also have Urban Gym which started at 99 kr, but is now 119 kr or something, even though they said they would not raise the price in the beginning.",Bogdan
232,"Very bad fitness centre,  old treadmills, majority of them shake badly as there's an earthquake.
Weighing machine is out of order since months.
Congested and unhygienic equipment placement.
Not recommended at all, better look somewhere else :(",Bogdan
233,"It's a great gym. The place is clean and the staff are nice and helpful. There is a nice selection of machines and other equipment, and everything is in working order except for on rare occasions.
All in all I am happy that I chose this gym and I will keep coming here for a while.",Bogdan
234,I broke my back,all
235,It's a small but great center. The staff is friendly and nice. I have been at this center for over one year.,Bogdan
238,"We were, as so many times before, over and training on Sunday 12 March. It was a short pleasure, however, as it was cold and the fans were running at full blast. We chose to drive home and spend Sunday at home rather than get sick in the process.",Bogdan
240,Gloves for boxing are very bad,all
242,"Bit crowded in the afternoon, but this always happens when starting the new year",Bogdan
246,"I was a very very busy member approximately 7/8 years ago 👍👍 Now I am better and I’m back to probably one of the best gyms I know of ( I’ve been to gyms in Austria, Spain and Germany ) it’s primarily always down to the standard of the machines and the openness, helpfulness,friendliness of the staff 👏👏👏 take a bow 👌👍The personal may have changed from years ago but the “standard” has not 👌",Bogdan
247,"Train here every other day, and it's an amazing place, with nice staff. However the all in membership vending machine is broken.",Bogdan
249,"Bondovej gym has been my regular and favorite gym for the last 2 years. Primarily because, in my opinion, it is the best pure gym center in this part of Odense🙃

equipment :
there is a lot of different equipment to choose from and it mainly consists of technogym plateloaded and machines as well as cable towers and there is a good mix of new and old, which appeals to me as I am a fan and often like the old equipment best. There is a sea of ​​grips and handles for the back and the same for the tricep and bicep. The only thing missing is a good seated cable row 🤫

Atmosphere/premises:
The center itself is divided into 3 large rooms with lots of space and high ceilings, it gives a nice spacious feeling even when there are many people. The division is great and is set up in a very logical context. The people are super nice and nice and there is really a feeling here that there is room for everyone! 🥰

Service:
The employees are just the nicest people and there is always time and energy for a hello or a little chat 🫠they are good at receiving rice and praise and listening to us users, so a huge pat on the back from here and keep having one of the best gyms in Odense😉",all
250,"Sport is wonderful. I recommend it without any pretentiousness or show-off, just come and do a workout. Everything is there.",Bogdan
251,"This gym offers all items, equipment and facilities that you would need. There are two big weightlifting areas (including barbells, dumbbells and machines), a big cardio area (treadmills, crosstrainer, stepper, cycles, ...), an area with the usual workout machines, a TRX area and in the one weightlifting area you have some open space to do your own workout (there are spinning ropes, medicine balls, kettleballs, asults, ringes, etc.). Moreover there are two course rooms (1 for spinning, 1 for everything else). They offer a decent amount of fitness classes (the only thing I am missing is Body Combat). And I really like the 'freestyle' courses like Crossfit and Functional, because they include different equipments and are usually with only a few people so the trainer can focus on you. Everything is very clean, including the shower facilities. There is also a sauna and a steam bath. The ladies changing room comes with big mirrors, hair dryers and hair straightener. It's usually not to crowded and in my opinion super cheap (99 DKK for students).",all
252,Good gym for good people.,Bogdan
256,"Just a very bad gym. Staff don’t really care, don’t blame them tbh it’s miserable in here. All-in deal is bad value. Lots of equipment but the space is pretty sad and windowless",Bogdan
258,"In a huge gym there is only one hair dryer and it’s not working. I asked the staff to fix it one week ago and they told me they will replace it immediately. Today still the same problem and it’s even dangerous as the wire is open. I told the staff guy that I suffered from sinusitis and have to blow my long hair. I even asked him to give me the one in the women’s changing room for few minutes. He said the hair dryer is fixed. When I asked him how is it possible that in such a huge gym there is no other hair dryer, he told me that they didn’t bring the new hair dryer yet and there is no other one. Unacceptable.",Bogdan
259,"It's a great gym with basically everything you could want or need, there is access to lockers both in the dressing rooms and when you enter the center. You enter using a card or bracelet, which is great since it's open 24/7. The only bad thing is that some of the members, don't put their plates and dumbbells back where they belong.",Bogdan
266,"If it possible to give 0 star a will, i cancel my membership and tell the staff in the gym that i gonna move to another city, the say ok but the money for February we cannot give it to you back(i train 1 time in February), i say ok just cancel me member the say ok, now 01.03.2023 the received from my card again 239 for nothing!!, i’am in another city i cant go to the gym and they still received from my card money, stupid rules and the manager who say to me in February you will not pay anymore is lier. I will never ever update my membership again in your gym, (take my money for nothing).",Bogdan
269,"Attention! I have noticed some screws missing in the locks of the locker room (males). This allows the door to be opened even with a lock. Always choose a locker with screws as the screws cannot be removed with a lock on. Also, booking system is problematic.",Bogdan
270,It’s clean and well equipped.,Bogdan
344,Good,Bogdan
356,"Amazing gym very large with everything you could possibly need! A seperate section for each body part I.e. legs, chest etc. Also includes a sauna and showers but never used it but from what I saw looks great!",Bogdan
357,"This gym has seen better days. Devices are old, often broken or make squeaking noises. Steam sauna closed down permanently. Regular sauna and showers are broken since weeks. Not worth the high fees. You find better gyms in Copenhagen for half of the price.",Bogdan
359,An excellent location Gym few minutes walk to the main city street. The gym is located in the ground level and has complete running facilities and gym equipment for power lifting and bodybuilding.,Bogdan
360,Good gym with everything you can think of. Equipment nearing a need of refresh and staff nowhere to be found. But can do proper training here,Bogdan
367,"Sauna 😊 Could be slightly warmer, but better than municipal swimming halls' saunas.
Good machines and nice personnel. In quiet times, this is definitely a place to train. Sometimes, when it's busy, some queueing time for machines, but hasn't been too bad during the month I have been using the gym.
Free entry included in room price for Radisson Hotel guests.",Bogdan
370,"They raise membership prices without any warning, they closes the sauna without any explanations or due date, it takes them weeks to fix broken machines, and the changing room are usually disgusting at all times. No need to mention it is overly expensive, and that they don’t offer membership options (the only one being Mon-Fri until 3pm VS anytime, for 40kr difference). Furthermore, they brand it as Spa when there is only one small sauna which just reopened after several weeks, and is now missing features such as time and sensor. Unacceptable.",all
371,"I worked out here for a few days while passing through. The day pass cost is higher than surrounding gyms, but it is on par with other cities. The facilities are a little old, but the equipment appears to be maintained well. There are plenty of racks, bumper plates, KBs, and dumbbells. The cable circuit machines are separated from the weight room, which is nice. Trainers did not overwhelm equipment or crowd people out. Opens early so you can get done and go to work.",Bogdan
374,"Quite small, so you often have to wait in a queue in order to use the equipment. The machines are placed so close to each other that there are barely any space to walk around them. Rather worn down as well, especially in the locker rooms, where many lockers are broken. Not worth the price.",Bogdan
375,"Recently upgraded with new machines on top floor & Additional weights.
Kept decently clean, usually not too busy, sauna, large stretch/mobility area. Great staff.

The downstairs is where it's at. Racks on racks on racks all with full platforms. + A grass area for sleds and more.",all
376,"Good gym at a great location. Friendly staff. Unfortunately Danes do not know gym etiquette: all weights are left on barbells. That's a big minus, but not fully FitnessDK's fault.",Bogdan
378,"Great friendly, helpful  staff. Spacious training areas…Air conditioning would be nice in summer !!!",Bogdan
379,Why do you have so few group classes comparing to other Sats places? Its unfair,Bogdan
380,Pretty large gym. Large section for CrossFit-type training and even larger section with machines.,Bogdan
382,"Unfortunately the gym is quite filthy all around. You cannot go and stretch on the mats without seeing the whole floor and the mat covered with little flakes (skin, dandruff...) and the smell of sweat. The dressing rooms are not any better. Generally, there should be cleaning happening at least 2-3 times a day. Now I already spoke with the employees and they said that they are doing it themselves and they only do it in the morning. That is a shame that the floor workers are taking care of the cleaning when there should be professionals doing it. This is not good enough. Additionally, the gym equipment and dumbbells are left lying around after use, so you cannot tell whether people are still using them. Not worth the money.",all
383,"Really nice atmosphere. There is a good space for stretching after a work out. Well lit and with lots of natural light through the windows. The staff always say hello and thanks for training when you enter and leave. The changing rooms with sauna and steam room are awesưel.
The classes help me so much! Training in group is such a great time, push you to complete the tasks and achieve your training goals.
Especially, love the yoga class and the room as well",Bogdan
384,"The workers from the reception they don't even move... the service its so so bad... They don't have any qualification, the guy who gave me the subscription he didn't know how much I would payed and he lied to me.. he told me one month free, and I didn't get any month for free.. its was scam. Horrible service.",all
385,"UPDATE: I adjusted my rating because I have had a couple of rude encounters with the staff members. The young guys and girls at the counter really need to be taught how to provide good customer service because their condesending attitude is not affecting the outlook of the gym in a positive way...
------
Pretty decent gym, still missing some basic equipment here and there, but overal it’s a quite okay gym. Some problems I have with this facility:

- Only having one leg extension machine
- No proper pull-up bars with the possibility to do different grips
- Overall, too small free weight section that 9/10 times reeks of testosterone. Literally. It stinks.
- Don’t bother going on weekdays between 16:30/19:00, then your workout will last more than twice as long because of the amount of waiting on equipment and machines.
- The music in the downstairs area is way too loud most of the times. If there was a boxing class going on, fair enough, but that’s usually not the case.
- Classes that take place (and they do a lot) on the rubber matting downstairs take up a lot of space, time and equipment. I make the effort avoiding going to the gym around those times because there won’t be any equipment left to use.

Good things:
- Loads of space compared to other gyms
- Has equipment that regular (cheaper) gyms don’t have > think more CrossFit minded gym set-up
- Enough squat racks (on quiet moments of the day)
- Eleiko weight plates, we like that
- Both mens and womens barbells
- Centrally located
- People training here are more professionally minded, keep to themselves and don’t bother others > the mindset and vibe in this gym is very pleasant.

But other than that it has everything you need and it’s okay priced when you’re a student just visiting this facility. Otherwise, I would probably find a different gym.",Bogdan
386,"Large and spacious center with lots of equipment, however a lot of people go here so it is always crowded. Good for treadmills and such, not the best for weight training as they are either missing or occupied.",Bogdan
387,"For the money you pay the quality of the gym is very low.
- very dirty, everything is sticky
- for some reasons there are like hundreds of cardio machines and limited of lifting machines
- machines placed in a completely random order
- lack of weight plates and no order for these either
- showers slippery one needs to have Spider-Man abilities to walk there
- showers and sauna very dirty
- ok friendly staff",all
390,"+ Big, nice view from some parts
+ Two nice saunas

- Small locker room, pretty dark. The lockers are tricky sometimes
- Crowded. No space because they have put equipment and machines in every corner of this gym?",all
391,"Small but cozy gym. Always very clean, well maintained and in order. The space is very open, doesn't feel suffocating. The equipment feels new. The atmosphere is great — people are respectful and welcoming and the employees are warm and friendly. It's not the biggest gym but has everything you need for weightlifting!",all
393,"Medium size gym with aerobics classes. Instructors and staff are professional and friendly. Amazing view over the water from 1. floor. Parking can at times be challenging and a bit hazardous, as the beach road is quite narrow with a lot of traffic, so be careful when exiting or entering car!",all
394,"The facilities are very good,the stuff is ok,  but the lack of air conditioning at the cardio floor makes it a disgusting sweaty sauna. There are a couple of fans but it's impossible to work out for more than 30 min without feeling you gonna pass out. When the sun hits the glass roof doesn't make it any easier",Bogdan
397,"The legend has it that the Sauna used to function once… it’s been out of order for months now. Escalators always out of order... 4 soap dispenser in men’s shower, always empty. So far worst Sats I’ve been to.",all
398,"While it is spacious and with the ability to brag about a wide variety of equipment, the standard of several machines, is low. Many of the treadmills are particularly noisy (moreso than one would normally expect) due to lack of maintenance, same with the exercise bikes. Lack of maintenance is one of the major characteristics of this center. Things are more than often quite worn, or parts might be missing from certain equipment.

While the staff is friendly, they don't, in my experience, care much about upholding the rules of the center. At this point, after 1,5 years of attending this SATS, it seems the the patrons can behave however they wish. People lob around their backpacks and dufflebags in the training area, they go barefoot and may talk on the phone loudly (normally I'd be completely fine, but the noise level is consistently high, even if I wear headphones blasting loud music). Along with this, hardly anyone puts the weight plates back where they belong and even fewer wipe down the machines/equipment after use (The older crowd is good at cleaning up after themselves though, kudos)
The mens changing room is usually not that pleasant an experience, the patrons like to cough and blow out their snot and phlegm  into the only sink in the dressing room, providing the rest of the patrons with even more unsanitary conditions. Sometimes it smells like someone is cooking in there. I'm yet to find the source of it, but it's an odd smell for a changing room.

All in all, the center could, by providing the patrons with proper, sanitary and pleasant exercise conditions, flourish much more than it is now. I believe it would take a good effort from the again, friendly staff, by making sure that rules are followed by the patrons.",all
402,"If you are looking for the worst gym in Copenhagen, you will find it here.

bad service, and if you are going to train with your partner or friends who know something more than you in the world of fitness
some of the staff will feel threatened to the point of rudely interrupting your training to tell you that you can't do PT in the gym.

It is unfortunate that they focus their job in ruin your experience.

I think I haven’t seen such a bad gym in any part of the world. They doesn’t focus in the client experience at any point. They just take your money and give you bad quality.",Bogdan
406,"Messy, unorganized and strange gym culture. Very urban.",all
409,Mohamad was a great help and went above and beyond. The customer service is top notch and I would recommend Sats to everyone!,all
410,Its a good facilty with 2 floors for working out. All of the staff members are nice and always greet me and tell me goodbye when i leave. Not giving 5 stars because the mens toilet always smells bad. Not counting that a solid 4 stars,Bogdan
