author_name,rating,text
Anni,5,"It was a good experience because of the director. It was a bad experience because of the bathing conditions. The Rist had stopped, so we sow in water.Other days it is a bad experience when I exercise myself in the hall, and there is only one round stick for shoulder exercises!"
Lene Andersen,4,PureGym in Værløse is a good place to train.Especially Zumba and ThaiBo are my favorite with a lot of lovely people on the teams.
Charlotte Pape,5,Many different teams - so there's something for everyone
Lillian Dalsgaard,5,Skillful instructors and lovely members of the senior team. The interest of the other participants is motivating to show up.
Jette,3,I think it's too long to get on Annette Løvgren's team in Mariendal. You should make more teams with her when you open the list then is but number 47? and there is October 23?
kunde,3,Old machines - time for upgrades. More welcoming staff could be desired
 Torben,4,Almost everything is perfect at PureGym in Sønderborg
Charlotte Pedersen,1,"Friday the 22/9 I paid with a personal training card. The amount is drawn 2 times on my card. Today on 9/10 I still haven't received what has been drawn too much, despite the fact that the money should have been here by today!In my optics it is certainly not good customer service!So some came that the money...BUT there is still 258kr, I MUST HAVE ALL RETURN!!!! THE ERROR IS 100% JERES!!!"
Michael Sigil,4,"Nice place to train, lots of room from the morning."
Janni,5,Cute and competent staff both at reception and in the team room.
Kunde,5,I've been training for 1.5 months and I'm super fond of it.
weldu tesfamichael,5,"I'm happy if I train, and the bot I work in has purely cool music, so I work while I'm having fun"
Dzevdet Kazimi,5,I've trained at least 10 years and I'm so happy
Lena Rachlitz,5,For everyone. Good atmosphere and many opportunities
Toni Jensen,5,Nice center and a good atmosphere. It is easy to be inspired by others who train
Trine Bay,4,"Good space, good atmosphere and nice large locker room."
Sylvester Kirketerp Kristensen,1,"Despite expensive membership there is no service and a lot of problems. First day starts out that you have to pick up your card at the reception, however, you cannot get to the reception without a card and when you press the bell there is nothing. When you finally have your card continues the problems. Come down to train, check in, see I have forgotten the mik water bottle, home after it, come back and can not come in. There are no employees to help, before customer service to call, or anything. Will recommend everyone to choose a different center than pure gym."
Evelyn R,5,Cozy small training spot under FW/Puregym •
Claus Aasholm,5,Good center where ordinary people feel welcome and comfortable. Lots of gear and activities.
Bente,3,It lags behind in replacing worn-out equipment.
Annemette Uhre,5,Super sweet and present staff Good atmosphere in the center
Mette Damving,5,Friendly and good atmosphere when I enter PureGym.
Bent Ludvigsen,5,"Good training conditions, a wide range of machines, nice staff and not least a skilled and motivating personal trainer."
Peder Kirkegaard Sørensen,5,"I like the relaxing environment where you are also your own ""doctor "" and can get guidance when needed."
Victor Due,3,"It's okay, but there's no air circulation, so you're totally dying when you work out."
Sine,4,"Good room, nice atmosphere, incoming staff."
Alice Callesen,2,"Music in the spinning room is too loud. High music is in the long run harmful! Set up sound meter that can give hints about how high to play. Spinning bikes need to be cleaned. They are filled with sweaty salt! Generally, I think it lags with cleaning all around. Otherwise, ok center is about hold."
Maja Kornerup,5,Has always been super satisfied with •Pure Gym • in WAVES •
Kirsten,1,"I went down and joined the center and they were super nice and helpful. They joined me and made me an offer that I agreed to, but they didn't inform me that there was a six-month bond.When I resigned about two weeks later, since I thought there were too little machines, I wrote to customer service and explained the misunderstanding when it was only there I discovered it. They said it wasn't their fault, but my responsibility since it was on the receipt, and they refused to help. After a conversation back and forth where I asked them if we could find a solution, I got rude messages back, but at last they changed the resignation.This was a super frustrating experience where I felt cheated and downed by the staff. Even though we had changed the date of the termination, I didn't report back to PureGym if this is the way in which they solved misunderstandings, whether or not."
Bo Østergaard,5,Good atmosphereSweet staff Clean rooms
Hans Petersen,4,Good locations and bright rooms with many activities. Meet staff with a high level of service. Clean machines and locations and the possibility of a cup of coffee in comfortable chairs and sofas. A little breakfast on Fridays with a smile on their lips.
Karina  ,5,Good atmosphere. Clean and neat
Sumbal,1,"For over 2 months I tried to get in touch with an employee who is in charge of company-paid agreements. Since you have changed from fitnessworld to Puregym, it is not possible to extend its subscriber!I contacted staff in various centers, Puregym customer service chat 3 times, which refers to the company member email does not answer!! Now my subscriber has stopped as it has not been extended."
Jakob Kirial,5,Delicious Center that just plays with the loveliest happy staff and Manager Maria! Always smiling and welcoming.
Susanne Bentzen,5,"Good atmosphere, good equipment"
Rikke Olsen,1,"I'm happy to work out in my local pure gym, but I have to admit that the cleaning effort has fallen tremendously... there is crap and fuzz everywhere, not so much in the changing, but otherwise everywhere else...the baddest thing I've ever seen is today's date... considering strongly changing to another center."
Gitte Frikke,5,"Clean, nice and good machines.Good indoor climate. Is very happy to train there."
Maja,3,Missing more energy is being spent on improving the team instructors and equipment instead of spending money painting walls and putting so bad conditions for the instructors that they choose to change company..
Jacob Michaelsen,4,The Puregym in Kokkedal is a versatile and good gym that meets my training needs.
Oliverrp,5,The equipment was great. Good atmosphere. Meeting people.Super friendly employees. Just mega cozy.
Martin L,5,Always nice center to train in.
Jonas Vesth,1,"I tried to create a membership in a plus membership when you saved 30% for the next 6 months if you were a student. After I activated this discount on the website it wasn't activated when I had to pay when another campaign (which was more expensive) apparently overlapd the study discount.So I went down to one of your centers and tried to set me up there, but neither did I manage to get started with the 30% study discount, despite the employee calling her boss. Here she did a good attempt.So unfortunately it was the weekend and I couldn't contact customer service until after the weekend. In between the campaign is apparently over. I get written to the chat today and meet the most incompetent young worker who after I explained my situation, writes ""We unfortunately don't have the discount anymore."" There is absolutely no help to pick up from customer service from Oliver.."
kunde,5,"I've come through years and there's a friendly service, as well as good instructors."
Bodil,3,Ok center.
Viggo,5,Have been training in FW for many years and are happy about it. Fantastic staff in Cone Lion.
Stig Bertelsen,5,Holte pure gym....Lighty center
Hans Haid,5,"friendly, clean, good teams and machines"
Mikkel ,3,Not a large enough range of machines in my center. It's weeks before faulty machines are repaired.
Peter Olsen,5,It's nice to pull along with the mogen others.
claus andreasen,3,"The equipment is worn down many centers, something is directly dangerous. That should really invested in new equipment, greeting member since 2011"
Dorit Ibsen,4,"Very good and inspiring team training. However, there is a lack of team training in all centres."
Consumer,5,Pleasure clean and neat all over the place.
Susanne Henningsen,5,Friendly and happy service. which is clean and neat..also in the hooks
Hanne Bruun Blaabjerg,5,"Cozy place, good atmosphere, room for everyone, the personal trainers are skilled giving away a lot..It's a nice place to train"
Serguei Chiriaev,5,Well-equipped center with very friendly personal
Kim Thor Bakkendorf,2,"It has not yet been possible to remove the fans that cause false cooling and thereby accidental damage. This problem has been brought to the attention several times, both local and member service. Nothing has happened.In addition, many wear surfaces are worn and should have long since been replaced."
stina just,5,"Good machines that are a good atmosphere in the center, very nice staff"
HelleB-W,4,Missing tight up teams in Freedom and Library Road
Thomas Kirkegaard,5,"Good training conditions, clean and neat, well maintained, good instructors"
Henrik Brendstrup,5,Really a good center that understands that good atmosphere and a good relationship with customers is just as important as the equipment. I am very satisfied.
Lars T L,4,"Very difficult to report as there are so many different levels, from gym to gym."
LH,2,For old machines that break constantly.Treasers to get the machines replaced
Simon Thomassen,5,"I think it's very good that everything I need, I get help when I ask about it."
Mette,5,Inspiring director and glorious atmosphere for Bike
Jane Rohde Olesen,4,"Lovely quiet center that I need, but there is still poor ventilation and the machines that are in use must be fixed in the foreseeable future."
Eva Bang-Hansen,5,"Good training, good ambience, level to suit everyone"
nala2cheer,5,Good center on almost all points. The rest is up to the participant
Janus Morthorst,1,Forgot something in my car and goes down and comes back and now Pure Gym writes the card reader handback time.This was a very bad experience and therefore I can only give a star.Fix it now.
Marianne,4,There are many opportunities for varied training and many skilled instructors.The biggest minus is the indoor climate in the classrooms that is under all criticism.The employees are friendly and helpful.
Michael Ellegaard,5,"Keep the experience, with super relevant and skillful teaching"
Marianne Holbæk,5,Fantastic director..fun and amazingly good..
Christina,5,"Mega skilful in the architect (Anne Sofie, Viborgvej)"
Poul Tomsen,2,Machine park poor quality. Poor maintenance of machines.
Kirsten Halkier,5,Effective time with good instructor to tight up.
Michael,2,"In the past, it is very few that do this.Why don't you put up signs and draw attention to this."
Klaus,3,"There has gradually been general dissatisfaction among members, on the level of cleaning and on the condition of the machinery. The paradox is that the price has increased while the quality has gone down. In this respect, it is also disappointing to hear that the centre on Østervoldgade is apparently a low priority centre.Everything suggests that Østervoldgade could be a good centre: good size, in the middle city and delicious rooms, but it requires effort, in line with the one previously established.The centre has been run very competently in the FW days by female center managers, so no names have been mentioned."
Joakim,1,"Find another placeCreates me at the reception, he writes my mail wrong and I didn't think about it anymore at the moment, I thought I was bug created and didn't come any more. Find out 2 months later I now have to pay for 2 months, even if I haven't received emails or been in their center. A big mess."
Lissy Kristensen,4,"Good facilities, welcoming staff, fantastic team trainer"
NatchayaKhunnam,1,I wasn't allowed in changing room. Then came suddenly em manager and complained that there was a customer who said to her that I was on video calls with someone in changing rooms. I knew the manager my mobile screen that I was only on Al. Sound call. Then came suddenly em manager and complained that there was a customer who said to her that I was on video calls with someone in changing rooms. I knew the manager my mobile screen that I was only on Al. Sound call. Then she should look out about it and ask me first if it was true that I was doing it in changing rooms. I didn't have to change her case that I was also allowed to speak in changing rooms at Al. Call me!! In changing rooms!!!!!!!!) I said to her that the others also did it was true that I was doing it in changing rooms. I didn't disturb others. I didn'd not. There's no prohibition to talk to speak in dressing room against house rules.!!!! I didn've always on silent on my mobile on my mobile phone!!!!!! I didn no talking on my phone!!! I didn on to the other I didn! I didn! I didn! I did not know the other I was on the other I didn! I didn! I did not know the other I was to the other people I did not know the other people I did not know the other people I did not know I did I did not know! I did not know! I didn! I didn! I did not know! I was to change I am I am I am I am I am I am I am I was to do I am! I am I am talking! I am I didn! I did not know I did not. I didn! I am talking! I am I am! I didn I didn I didn! I did not know! I did I am! I am I am I am I am I am I am I am I am talking! I' I' I' I' I am talking! I am I am I am I am I am I am I am I am I am I am! I am I am I am I am I am I am I am I am I am I am! I am!!! I am not. I' I' I am talking
Preben Valeur,1,I pay for my son who is now studying in Italy. We try not to pay first as it is enough for a statement in many places. But there is a bill coming. My son cannot sign up as I pay and I can't unsubscribe as the email address doesn't fit. It is closed for support this weekend and since I finally find a physical store with staffing it is October 1st. They know that he can't use the 2 extra months membership - since he is in Italy - which we are now forced to pay but yet demand that we pay for October and November - as their rules say. Very little service-minded. Find a better and cheaper place.
Consumer,5,"Zumba and tight up with Louise Pilgaard is one of the best. Best director who with his positive attitude manages to give us all sweat on the forehead and smile on the lip. Loves to train with her, and she gets my warmest recommendations."
Stine s. Punar,5,"PureGym gets 5 stars - have trained in the center - the centers for many years now also as it was called fitness world. I am very satisfied and could not imagine me training in other center. Good atmospheres and cute employee. Always clean and nice. However, I'm not quite happy with the new machines that come around, they're not made for small people. They're not as good as the old ones, fortunately they haven't changed out in all centers yet. But otherwise I can only recommend PureGym."
adam hansen,1,"Sign me up at the reception due to poor conditions, accepted. Anyway gets bill. Says up again this time with signature. Contacts the support that doesn't understand the problem - doesn't follow up as I point out the problem. Pays bill via sent app. Apparently not working. Gets new moves and now incasso. A dirty mess shop. Find another place. For your own sake."
malou pedersen,5,"Completely fantastic experience with good energy and sweat on your forehead. If you try bodyattack, I can definitely recommend Marie, who does a varied, hard and fun workout."
Consumer,3,"No climate facility and it makes there always stinks in the toilets and get too hot in the center in the summer and then it's too expensive to be a member.They're all about the apple juice and I'd like to praise the staff at the center for doing what they can, but there's one climate facility missing."
Anna Zejden,5,"Latin team training is recommended for everyone. You get plenty of good energy and create a good mood, just within 50 minutes. Fantastically skilled and sympathetic instructor and well seen songs make you happy for the rest of the day. You can't invest better in your physical and mental form!"
Christoffer Boesen,5,"Nice welcoming staff.It's always clean and nice.Good machines, some old people may need a shift.And there are plenty of new ones."
Kat Rosholm,1,"Expensive fitness center where you don't get enough for the money. Long notice period when you quit. Collects monthly payments, despite payment agreement, so suddenly you have to pay 600 kr. at once instead of 300 kr. per month. Lots of unforeseen fees. I have to get back to fitness X, that's for sure."
Sigrid Lehmann,5,Because Nicki Seneberg is the best director and manages to create the best atmosphere.
Srdjan Petrovic,5,It is nice that there is always clean and the machines are relatively new and ready for use.
Alicja Nowak,5,"The best community ever • Huge big gym, always clean top class, welcoming personnel, good music, phenomenal trainer (especially Nicki"
kunde,5,"In the years I've come here, it's always a friendly service."
Kasper Kudahl,1,"Almost impossible to reach someone over chat, should have quit my subscriber which teased. Couldn't get an employee over the website. Thought so succeeded and thought everything was fine. Now they've sent me a bill 2 months after I quit that I'm still a member.. mess!!"
Mette Lise Johansen,4,The Best Instructors
Dennis Sode,3,Many old fittnes machines as well as lack of maintenance
Rikke Erbs,3,"It's okay to workout, but there needs to be cleaned continuously."
Frank Ørsted,5,Nice and friendly employees a good place to train I'm happy with smiles
Jane Marie Højberg Jensen,5,"Super cute staff, and rarely crossed the gym."
Jesper Joes Petersen,1,"Extremely bad center in Elsinore.And in other cities it is rumoredAfter they have chosen to close 4 of the 7 toilets in the center and removed half of the lockers, out in the locker."
Sussie Persson,1,Maintaining 1 star - I could give less I did - reply from Lukas clearly shows that they were totally equally happy with the customers - and no she wasn't cleaning it was long gone. PureGym has become a money machine - had today - for the first time forgotten my card and had to have help getting in - the price of opening the door is 30 kr - that despite being a regular customer for almost 2 years and putting money in their store for 6 months at a time - I am furious it is by no means all right
Torben,4,"Good opening hours, usually easy to get to the machines. Super good feeling afterwards."
Pia Jellerup,3,I like most centres I've been in physically. I think that the level of team instructors has fallen a lot over time. How are your work environment and pay etc.? Why can't you keep the good instructors?
Casper23,5,"Our center is really good and the staff, led by Mike, are enormously accommodating and helpful."
Popsi,1,I tried a report a client out of pureGym it's completely impossible. Their service is not existing. Their instructions do not work. Super bad service. Popsi Kiel
John M�lich,5,"Cozy and nice people, I was welcomed by the staff. Good and focused environment in the training areas."
Steen Jæger,2,"A cardio machine park that is mildly indecent. The staff do what they can and there's nothing wrong there. But the center doesn't live up to any standard at all. Keep offers that are completely ridiculous. It seems as if the Sønderborg center has run out of the group's focus and just has to sail its own lake in the best possible way. It's almost embarrassing to say you train in PureGym in Sønderborg when you're asked where you're training. Now get the otherwise cool center updated to present standards. You see your advertising spots on TV in the center with advertising to train on various machines that so many people don't even find in the center. The other centres in town have gradually got new engine parks and chatter about people who go to other centers, which can be seen clearly at certain times when before there were many out to train in the morning/morning day for you to almost have the center for yourself today."
jan petersen,4,Good center.good facelites.good machines.a small minus for many teenagers use it as a living room
Rikke,5,"Good team, variety, great teachers"
Lars Lindsby,5,"PG-Stagehøjvej in Silkeborg is a smaller and worn but cosy and well equipped place to train with friendly and skilled employees,"
Noixbusiness s,1,Puregym is pure scam.The prices that stand on their website are misleading
Bogumila,5,It was nice to get to training as it is close to my residence. Pleasant atmosphere and clean. Always helpful staff present.
Hanne,2,There is a lack of senior trainers.The cleaning has deteriorated
Melanie Jene Nielsen,5,Friendly employees and a lively place to train.
Henrik Weinrich,5,Good machines as well as fine rooms after it has got new colors.
ravnK,5,"Nice center with the cosyst atmosphere, service-minded employees and the best instructors.Counts all days and all teams."
Christina ,5,"Very good fitness chain, with good teams, good service, good machines and facilities."
Jonas Friis,1,"Not possible for free trial training, to see if you should switch to Puregym rather than the current gym. Cost 69kr. for a training. Never join PG on this basis."
Azam Yousaf,3,I didn't seem to appreciate the old loyal members. You keep chasing new members with offers. You should care for the old ones with e.g. giving the old members the same offer with cheaper subscriptions.
Kunde,4,Good instructor at bike team. Sweet fellow bikers.Unfortunately still poor bath conditions. Too low pressure on the water in the showers when we are more than 2 in the shower simultaneously •
Bettina Jennifer ,5,Trained for many years. Always a pleasure to get into Pure Gym. Nice and clean. Large selection of machines and accessories.
Nico,5,Good large bright rooms. Good selection of machines and friendly staff.
Oleksandra Khiubner,5,"Good location, enough equipment, what I need"
Frederikke K,1,"I can't change my subscription via the app/browser. Super super bad! Besides, it doesn't look like my student discount has been talked to."
Jakob S. Johnsen,5,"Good tools, great facilities, good atmosphere and welcoming staff."
Jens Corfitzen,5,"Bondovej good center, friendly staff and serious instructors"
Kirsten,4,"Okay, I'm a little up in the years and a little overweight, but nice to come to your house."
Chris Olsen,5,"Great center, great machines and nice staff."
Sara Møller-Damgaard,5,"It is a super good center with good instructors, especially on the yoga team;)"
Carsten ,5,"The machines work, staff at the center are happy, which gives a good atmosphere among us who train."
Cherif El-Ayouty,5,Such a serious fitness center should be
Gilbert,4,Good staff
Jan Mercebach,2,"All too often, the center in Goaløv is disgusting and dirty!:(And the machine with the All-In products is fairly often out of service."
Rasmus,5,RIGITG fine centerGood atmosphereClean and neatGood machines
Dennis Corlin,5,Cozy center. Clean and neat. Serviceminded staff. Customize with tools.
Flemming Stucker,5,"High to the ceiling, and fantastic staff who keep clean and are always visible."
Lars Kruse,1,"During the transition from Fitness World to PureGym, old memberships have been allowed to continue at the double price - without making members aware of the new prices. It's cheating and deception. PureGym's member service has confirmed that they haven't alerted members to the changed prices. Therefore, check if you pay too much and which I have paid too much for about 6 months. Cheating and deception!"
Jesper V�ring Linddal,2,"Not much has happened in the center that was promised in the spring.There are other things to mention:-Sound dampening in the spinning room-Retention in the changing-That there would be control of the ventilation, which doesn't work 100%Little deaf, since after all it isn't cheaply use the centerMen super nice staff."
Finn Brandi,3,"The machines are okay, but when you train early in the morning it's not always clean and the sound level of the music is quite high"
Gitte Ellis,5,Good atmosphere and surroundings have got a nice uplift.You always feel welcome.
Jesper Kristiansen,1,Local centre Fredensborg closes October 1st
Pia Have Pedersen,5,"Clean, maintained, safe, anonymous, perfect for someone who's nervous about training."
Kim Hother Nissen,4,"Great training center with many options but more machines are gradually being worn out and it is difficult to see kilos indication,more loose grip needs replacement. men's changing clothes hang slightly in the brake."
Christina Fryhstych,5,"Nice mall, good"
Per Haulund,4,"Only minus is, there are a lot of people who don't change shoes, which ultimately contributes to broken machines more expensive membership.They should have 1 warning and look like"
Lars Mathes,4,"Overall a very good centre with good quality of equipment, but the bath facilities are worn out."
Lotte,5,A center where there is room for everyone.Helpful staff.Maskins for everyone and ok with choice of teams for my consumption.Indoor climate a little dry. Very nice and clean conditions and super good dressing
Henrik Persson,4,A comparatively reasonable price for machines that unfortunately do not always meet expectations
kunde,4,"Super training (stram up) just too bad that equipment like dumbbells is so worn out so the ""foam"" is almost worn away."
Jacob Fassler,5,"Having trained all over the world, I can confidently say this gym is definitely a must. Their daily fee is incredibly fair for everything they offer, I cannot suggest this gym enough. Absolute 10/10 spot."
Virginia Hutauruk,5,"Been to 40+ gyms around the world and this is one of the best. High quality equipment and they have everything you need.

Olympic lifting, all machines, booty area, functional fitness, delicious protein shakes.

Hagen at the reception is also very friendly. Owners please open this gym in Lisbon! 😀"
OLIVER CREGENZAN ALBERTI,5,"Good location, reasonably good price for Danish standards, open 7 days a week, and super friendly staff by email and at the entrance.
Equipment not extremely new but very well kept, good space and when you join, they also offer a free coaching/personal session to guide you! 💪"
Alissa Orr,5,"Fantastic gym with tons of equipment. Plenty of options and plenty of space to move around. Lots of racks, benches, dumbbells, kettlebells, bands. Cardio equipment includes plenty of treadmills, bikes, stair climbers, etc.

Plenty of lockers available and I was offered a combo lock if needed. Affordable day pass (60 dkk) was easy to pay. There was always an employee at or near the front desk who was quick to help."
Oussama K,5,"Best gym I’ve ever went to. Very friendly staff, fully equiped with everything and a great Schwarzi painting.
Ideally located with a fair day pass for travelers. 5/5"
Amit K Mishra,5,All modern equipment are available at a reasonable subscription rate. Definitely I will join soon.
Mikkel Thygesen,3,"Good facilities, but it is in dire need of better climate control. It's only about 19c outside now but the inside the gym is burning (when doing workouts obviously). The group hall is even worse because they're not allowed to open the windows."
Christian Haugbølle,1,"Signed up and regretted my subscription within the 14 days cancellation period. I had a very, very hard time getting them to understand that I should not pay for the rest of the month + 1 month if I cancelled within 14 days (they even asked if I had actually READ their terms, which I had ... and turned out their center-leader had not, which was very awkward for her). I can't recommend Fitness World."
D Kar,5,"Huge training space. Good quality classes. Would be great for me if instructor use a little bit of English too for the people who don't speak danish.
I like fitness world."
Ivan Vlasov,1,"I checked on their website that they are open and offer one-time visit. I came, waited for 10 minutes - no administrator appeared (the client/members were there), and then I left this place."
Julie Taeko,5,"I’ve lived in San Francisco, Japan, Spain and now Copenhagen for a little bit, but this is by far the best gym I have ever been too for the cost. At this location, they have a live DJ from 4 to 8 PM on Monday evenings, and at the other location they have a live DJ at the same time on Tuesday evenings. It’s quite amazing for the price! It’s a nice thing to have as well to spice up the workout.

Plus, they have friendly staff, plenty of lockers to put away your stuff, a Zen room to do your own AI powered workout, and so many machines! Also, they have drinks and protein ice cream bars you can purchase."
Cyrus Hiatt,5,"Fantastic gym. I have been working out there for about 4 months now and enjoy the equipment, staff, and the fact that they are open 24/7. Would highly recommend if you are looking for a new gym in Copenhagen."
Mikkel Anderson,5,"Go here at night and it is like getting into a night club, great atmosphere and music is almost always on point!
There is a guy here, think he is called Rasmus, always smiling and welcoming. He gets you in a mood that forces all great energy into you and makes the lifts much better. Would highly recommend going here, and in Repeat I general!"
Alberte Schmidt Koefoed,4,"Love the interior of this gym. Much better than any other gym I have tried. They have a great selection of equipment. However, the music is sometimes really really loud and the place can get quite busy during peek hours."
eclipseNF,1,"This gym has really terrible policies for drop in, day pass people, such as tourists like myself. I went there at 3:15pm on a Saturday, and the staff member told me I couldn't train because he was leaving at 4pm, and I was not allowed to let myself out of the gym without a staff member being there, even though it's a 24 hour gym and was full of people. Very bad policy for taking care of casual people like me who really want to train."
Carlos Olivo,5,Very nice gym. I got a week pass for 110 dkk or something like that wich is really surprisingly cheap for this quality gym. You can also do daily passes. The only thing to bear in mind that after 6pm and on the weekends there is no one to check you in so come before if you want to singup and then you can use the gym using a card until midnight.
Martha V. Shelton,5,"well appointed gym; not crowded mid
morning"
Thomas Jakins,4,"Never really too busy but it is quite small. Like alot of fitness worlds it could update the machines.
Generally its very clean, its one of the better fitness worlds."
Hendrik H,1,Gym has only very limited service times. Impossible to workout after this time if you only want to workout for a day.
Sharad Govil,5,Great Gym- I was a bit nervous as this is my first time to a gym in Denmark but the front staff was very friendly and helpful. For 99DKK I could get a pass for a week. It opens from 5:30 AM to 10:00 PM. The timing showed in google is when front staff is available. You need an access card to enter so if you are first times from overseas go after 8:00 AM so staff can open the door for you.
Jon H,4,"Great gym and CrossFit lessons, I usually do drop in when I visit CPH. If you do not speak Dannish and are looking to do a drop in CrossFit avoid classes with the coach John David, he has a lack of interest and not welcoming to new members, the rest of the coaches are great.
I totally recommend this friendly gym."
Peter Hagström,5,Best crossfitbox I’ve been to so far! They got it all and is a must visit if you love Crossfit and is in town. Friendly people and great classes.
Lilya Moerk,5,Very nice gym. Good atmosphere and friendly people around!
Oskar W V,5,"Nice outside and inside gym, really nice owner, and cool New and smart equipment!"
Can Deger,5,"The best gym by far, I have seen in CPH"
J Masnec,3,"Ok gym for a chain. Slection of machines is good, slection of classes not so good. Not crowded. Highlight is the two squash terrains. Downside - you cant reserve them online if you're not a squash member. Fitness membership doesnt help, you have to have a seperate squash membership."
Isabel Monteiro,1,"Jesus Christ..
this place needs a deep cleaning !!!!  The shower is full of spiderwebs, the mats were all very wet of sweat..

Be careful at the room were they do boxing the wood floor is very slippery

Not enough  hygge but:

Friendly employees !
Cool time at the boxing class!"
Ewa Palenta-Rusin,2,"I give 1 star more than #fitnessworld actually deserves for the great ""hold"" instructors. Otherwise it is a poor service fitness center that want to rip you off at every turn. I got a special offer when I signed up because it was FW birthday - ""All-in"" free for one month. It was the end of month and I did not get to use it at all. But to my big astonishment, it was an opt-in subscription service, so I was actually billed for the next month without even being notified beforehand! I cancelled it right away but I had to pay for that month anyway. So I used it a few times. And here comes the next surprise - again I was billed for the product I ""bought"" on top of my monthly fee.
I am asking, is that what a reputable fitness chain do? I doubt.."
William Maddocks,4,"One of the better fitness worlds, nice and open, high ceilings, nice facilities.

Only thing that stopped it being 5 stars is the lack of cleanliness in the bathroom/shower areas sometimes"
Kirsten Evans,3,"Great place to work out, the Dance Fit class was really good.  But as with all FW centers a good cleaning, would be great!"
Bartosz Gałecki,3,"Air conditioning is not turned on. Instead they put a couple of fans around the gym, which just move hot air around. Not super clean but I've been to worse places. Some machines are broken for weeks without maintenance.

Good thing is that people put the weights back"
wandyr hagge,4,"Nice place for a work out. Clean. Fairly good equipments. Within the price range of other facilities. A bit under-staffed, in my opinion. Difficult to find someone to ask a question. And even If you find someone, It is not sure you will get an answer..."
Thomas Kägi,4,Visited this gym during my vacation. It has Seen better times but Its still good to get some gains:-)
Joar Torbiörnsson,1,Had my membership cancelled in the counter in proper time but still had to pay additional month.
Mikhail Nikitin,1,"One can talk about broken machines or dirt in the changing rooms, but I realize that things can't be ideal all the time. So I'd say it all goes relatively well until one needs to talk to someone beyond the helping guys in the centre. The company doesn't have a phone number to call. They have a chat, which main purpose seems to relay a message ""Fill in the online contact form"". When you do, there is a waiting time from hours to days. And if you get an answer, it never changes regardless whether you can prove them wrong or lying. They merely stop responding. And there's nothing you can say to someone who is not willing to listen."
Bas Klerk,5,"Great gym. It’s relatively small but has plenty of cables, freeweights and squat racks, so really everything you need. Very kind staff and chill atmosphere."
Nine Sofie Holmelin,5,"Amazing local gym! Feels way more personal and comfortable, than any other gyms I’ve been to."
Edi Osmani,5,"Very good gym.High quality Equipment ,very good treadmills and also boxing  fitness classes to get really fit ...friendly staff.I would really reccomend..."
