,ID_x,text,annotator,Not Determined,Equipment,Staff,Hygiene,Location,first_11,person,type,rating,first_7,ID_y
18,70,"Once again, PureGym proves to me how little their members mean. I meet in this morning to train. There are two women in the bike room who have really loud music, I go in and nicely ask if they won't turn down, where one of them breaks out that it's only for an hour and that they should be allowed to be here, I explain that the same thing applies to me and she just keeps repeating itself, so I just go out again. Later I get an email with a warning because of my inappropriate advice and then find out that one of the two women was a director. I don't get the opportunity to defend myself and tell my side and try to send a complaint to the member service, but also gets rejected and get a short answer to keep the warning. It's pure principle for me and it's so unfair, I've been a member for 10 years + and always behaved properly. To be treated like this after all ",8413a258-Christian.csv,-1.0,,-1.0,,,"once again,",Christian,Urimelig behandling,1.0,once ag,80.0
19,71,Cosy center and talented instructors.Bike instructors are always well prepared.,8413a258-Christian.csv,1.0,,1.0,,,cosy center,Christian,Hyggeligt center og dygtige…,5.0,cosy ce,81.0
20,72,"It's a nice place to come🙂, and there's the training equipment you need",8413a258-Christian.csv,1.0,1.0,,,,it's a nice,Christian,Det er et dejligt sted at komme🙂,5.0,it's a ,82.0
21,75,"One of the best centres I've visited, it's big, tidy, clean, and there's the tools that need to be.",8413a258-Christian.csv,1.0,1.0,,1.0,,one of the ,Christian,Et af de bedste centre jeg har besøgt,5.0,one of ,85.0
22,77,Always high standard with cleaning and staff with accommodating,8413a258-Christian.csv,,,1.0,1.0,,always high,Christian,Altid høj standard med rengøring og…,5.0,always ,87.0
23,78,Good reception at reception and easy to get started again,8413a258-Christian.csv,1.0,,,,,good recept,Christian,God modtagelse i receptionen og nemt at…,5.0,good re,88.0
24,81,Super atmosphere,8413a258-Christian.csv,1.0,,,,,super atmos,Christian,Skønt sted 😊,5.0,super a,91.0
25,87,The center usually works well but within the last 3 weeks there have been errors on several machines - including leg pressure,8413a258-Christian.csv,1.0,-1.0,,,,the center ,Christian,Flere maskiner har ikke virket i flere uger,3.0,the cen,98.0
26,96,"Although atmosphere, helpful and turning staff. Many team options and nice atmosphere and indoor climate",8413a258-Christian.csv,1.0,,1.0,,,although at,Christian,Skønt stemning,5.0,althoug,107.0
27,97,Nice to come Puregym always smile staff and helpful,8413a258-Christian.csv,,,1.0,,,nice to com,Christian,Dejligt at komme Puregym altid smilen…,5.0,nice to,108.0
28,98,"I am generally happy with SATS, especially after having better opening hours. Sweet employees and usually good atmosphere on the ""floor."" However, there are some things that could be improved, including faster repair times of defective machines. 2-3 weeks is not all right, but unfortunately often a reality. Besides, you rarely see receptionists more, as these have apparently been given other tasks such as cleaning and cleaning up. I have also seen people go straight into my regular centre several times, without checking in, so unfortunately I also suspect cheating due to the often lack of reception staff. On the wish list is a SATS center in Hillerød:-) Otherwise I am perfectly satisfied with the 2 centres (BLOX and ABC) which I use primarily",8413a258-Christian.csv,1.0,1.0,-1.0,,-1.0,i am genera,Christian,Godt tilfreds,4.0,i am ge,109.0
29,110,"It seems that SATS only focuses on the large centres, for example in inner Copenhagen. I train among others in Vallensbæk. I have trained on the team with functional training for more than 5 years - the director is great. Now the team is closed with the reason that there are not enough participants on the team. No, there are no waiting lists on the team, debt offers quality and social cohesion. That's exactly what the smaller centres can offer, but it's obviously not a factor in SATS unfortunately.",8413a258-Christian.csv,-1.0,,1.0,,-1.0,it seems th,Christian,Vallensbæk holdtræning,1.0,it seem,121.0
30,112,"I work out in SATS in Nærum and after Thomas has started I've been working out there for 6 years, where the managers have changed out several times. BUT now it's under control. Thomas is present and attentive, the staff is the same and you always get a fresh remark when you come to the training.Here is clean and neat and manage everything. A super feel every time I work out and it's at least 5 times a week •MvhMona •",8413a258-Christian.csv,1.0,,1.0,1.0,,i work out ,Christian,Jeg træner i SATS i Nærum og efter…,5.0,i work ,123.0
31,114,"Really delicious machines, good teams, cute employees, value for money, but there could be a need for some extra cleaning in the lady dress in general. Perhaps this is because most men are employed, which therefore does not access the dressing room just as much? But overall it is Nice",8413a258-Christian.csv,1.0,1.0,1.0,-1.0,,really deli,Christian,Love sats,4.0,really ,125.0
32,121,"Arriving on SATS Glostrup. Now 1/3 of the spinning bikes have not been operational for six months, and the rest have not been maintained. If it wasn't for the instructors then I would have stopped my membership.",8413a258-Christian.csv,,-1.0,1.0,,,arriving on,Christian,Manglende reparationer og vedligeholdelse af materieleriel,1.0,arrivin,133.0
33,129,"(The review is written after 8 visits to the center over period of two months. In addition, I have a roommate who uses the center considerably more often, who has the same experience) There is a lack of general management of the center, otherwise it wouldn't be so bad... There is a lack of consistent hand alcohol in half of dispensations. - All toilets are grossly disgusting. It looks like no toilets are checked more than 2-3 times a day, which is absurd when you think of the amount of people who use the center daily. Staff should go a round every hour in peak hours, but move rarely from the counter, even when there are more at work. In addition, the toilets smell like a lack of basic cleaning (other than emptying the trash can and cleaning mirror) - no water vending machines, which means that you are forced into disgusting toilets to fill your small water bottle. - Several cabinets in the men's dressing room do not work, which means that it can be difficult to find a closet in any way.",8413a258-Christian.csv,,,-1.0,-1.0,,(the review,Christian,Mangler ledelse i SATS Fields...,1.0,(the re,143.0
34,132,"SATS Glostrup's sauna is always broken, 2-3 times a month it's broken. The cold shower hasn't worked for 2 months either. Find another center!!",8413a258-Christian.csv,,-1.0,,,,sats glostr,Christian,SATS Glostrup's sauna er altid i…,1.0,sats gl,146.0
35,134,"SATS Glostrup's sauna is always broken, 2-3 times a month it is broken. The cold shower hasn't worked for 2 months either. Find another center where these things might work otherwise find another provider of fitness.",8413a258-Christian.csv,,-1.0,,,,sats glostr,Christian,Sauna altid i stykker,1.0,sats gl,148.0
36,139,"Keeping an eye on your bills - SATS likes to add extra payments without informing you about it.Your systems are in such a poor condition that they remove campaign benefits. In my case, it gave an extra bill on a month's subscription. Furthermore, they provide in the centers a wrong guide when it comes to setting up payment methods. If you sign up after 14th of the month, you must add payment methods to the center so that they can use the chosen method for the coming month. I was told in the center that I should just have done it before the next 14.Your payment department by phone is fairly cold and indifferent to their centers providing incorrect information upon registration. As well as that their systems impose extra payment without it being written anywhere.All in all this is not a business that I personally would trust. They cheat their customers and disbelieve all responsibility.",8413a258-Christian.csv,-1.0,,-1.0,,,keeping an ,Christian,Hold øje med dine regninger fra SATS,1.0,keeping,154.0
37,140,Have of 2 laps experienced that they withdraw money even though I have put my subscriber on hold,8413a258-Christian.csv,-1.0,,,,,have of 2 l,Christian,Har af 2 omgange oplevet at de trækker…,1.0,have of,155.0
38,141,I'm impressed by our bike instructor Per Bille he is superbly skilled and can draw full house.Pump.Dangerous to let a not finished pump instructor teach. It happens on Mondays where non-trained instructor teaches.I get worried.negative due to cleaning and bathing conditions. Unfortunately.,8413a258-Christian.csv,,,0.0,-1.0,,i'm impress,Christian,stærke cykeltimer tirsdag og torsdag :-),2.0,i'm imp,156.0
39,142,"I enjoy being on Pernille's yoga team, just as I enjoy training alone.",8413a258-Christian.csv,,,1.0,,,i enjoy bei,Christian,Jeg nyder at være på Pernilles yogahold…,5.0,i enjoy,157.0
40,149,"Sats westernport Absurd bad service is the first...Absurd Bad service is the first theorem that I choose to start this review withThe evening to Wednesday I'll be met someone who doesn't say hello orler have a good day, she's busy talking to her colleague. seems so bad style and not least incredibly bad service.",8413a258-Christian.csv,-1.0,,-1.0,,,sats wester,Christian,Sats vesterport Absurd dårlig service er den første…,1.0,sats we,164.0
41,151,Because of illness I didn't need my membership and was recommended to suspend it for 45kr a month. After 1 month I would then cancel completely and then get to know that I can only by paying a full month regardless I can't make use of it. I have then paid for 2 months plus a month in suspension and I haven't been to the center once!!-----updated 24-8. Sats has after the above contacted me and we have found a solution that satisfies us.,8413a258-Christian.csv,0.0,,,,,because of ,Christian,Manglende information,1.0,because,166.0
42,155,Be onest a least,8413a258-Christian.csv,0.0,,,,,be onest a ,Christian,"sender mail med platiniumtilbud,hvor siden der henvises til ikke er aktiv da den restistituerer,spam amil blev det så til",1.0,be ones,170.0
43,158,"It looks worn out. Again machines that are out of service (3 pieces), machines that are rusted and machines that are removed",8413a258-Christian.csv,,-1.0,,,,it looks wo,Christian,Slidt,3.0,it look,173.0
44,159,There's still a lot of treadmills out of service...... get 'em done or get 'em out of the way...,8413a258-Christian.csv,,-1.0,,,,there's sti,Christian,Der er stadig mange løbebånd ude af…,3.0,there's,174.0
45,169,"Generally speaking, SATS Valby is a good place to train. They could invest in a little more weightlifting equipment, but it's a small thing. However, they have massive problems with people who don't clean up after themselves. The place is often one big mess where I have to clean up other people's mess before I can get started with my own training.",8413a258-Christian.csv,1.0,-1.0,,-1.0,1.0,generally s,Christian,Alt i alt et fint center,4.0,general,184.0
46,172,"They closed the steam bath, had bigger construction and still raised the price. And after all, I have to pay an extra month just to quit. Terrible business, unhelpful customer service.",8413a258-Christian.csv,-1.0,-1.0,-1.0,,,they closed,Christian,Overfyldte faciliteter og for lidt udstyr,1.0,they cl,187.0
47,173,It is delicious and clean in SATS Birkerød. They have a very good selection of machines,8413a258-Christian.csv,,1.0,,1.0,1.0,it is delic,Christian,Der er lækkert og rent i SATS Birkerød,5.0,it is d,188.0
48,177,Training is good enough! But clearly bad that there is almost no team is more!! TRX away from the Fish Square really bad it was a super team!!! You have to jump around between places it is straining,8413a258-Christian.csv,0.0,,,,-1.0,training is,Christian,Træning er god nok,3.0,trainin,192.0
49,183,I have been on teams in Abc and Falkoner since 2004. Can very highly recommend!!!,8413a258-Christian.csv,1.0,,,,,i have been,Christian,Jeg har gået på hold i Abc og Falkoner…,5.0,i have ,198.0
50,187,Solid training with Jacob.We gave it gasCan be recommended,8413a258-Christian.csv,1.0,,1.0,,,solid train,Christian,Solid træning me Jacob.Vi gav den gas,5.0,solid t,202.0
51,188,"Incoming personnel, clean rooms and machines, no mess.",8413a258-Christian.csv,,1.0,1.0,1.0,,incoming pe,Christian,Imødekommende personale,5.0,incomin,203.0
52,189,Again Karen in Herlev is the best and sweetest instructor •,8413a258-Christian.csv,,,1.0,,1.0,again karen,Christian,Igen Karen i Herlev er den bedste og…,5.0,again k,204.0
53,190,"I paid for my membership three days ago and still haven't received a confirmation of registration or activated my membership. This hasn't happened, despite the fact that I was assured that it would be done today when I called in at 08:30.It's already impeccable that you have to wait from payment to the creation of membership, but it gives an even worse experience when you are given a prospect that doesn't happen.",8413a258-Christian.csv,-1.0,,,,,i paid for ,Christian,Jeg betalte for mit medlemsskab for tre…,1.0,i paid ,205.0
54,191,"Nice selection for machinery equipment etc. however, unfortunately too hot, summer as winter. Also poor cleaning by machinery and equipment.",8413a258-Christian.csv,-1.0,1.0,,-1.0,,nice select,Christian,"Fint mht. udstyr, men ...",3.0,nice se,206.0
55,194,"I am pleased with the positive development of team plan in Vallensbæk center. We have got one of the best instructors/hours within Pilates (Zsusanna) and Stram op (Janni). In addition, I am pleased with an energetic Body Jam (Annetta).",8413a258-Christian.csv,1.0,,1.0,,,i am please,Christian,Jeg er glad for den positive udvikling…,5.0,i am pl,209.0
56,196,There could be 1-3 rowing machines underneath. +2-3 hand bike trainers in SATS Valby.,8413a258-Christian.csv,,0.0,,,,there could,Christian,Der kunne godt være 1-3 romaskiner…,4.0,there c,211.0
57,197,There is a good atmosphere and the teams I go on are super intensive. I feel comfortable when I've trainedRødovre - absolution and bodypump with Grethe Ziegler,8413a258-Christian.csv,1.0,,1.0,,,there is a ,Christian,Der er god stemning og de hold jeg går…,5.0,there i,212.0
58,198,"The indoor climate in SATS valby is so poor that it is tragic.The problem has supposedly been going on for many years.I am incomprehensible that you are content with this obvious problem when you have the country's most expensive subscription prices.The unhealthy indoor climate creates discomfort and great discomfort for the training course, and it can be felt very much by all visitors.Get control of your ventilation system! It is the least you have to offer your members. An indoor climate with heavy, humid air can bother the airways, and it is under all criticism that a fitness centre completely neglects this.",8413a258-Christian.csv,-1.0,,,,-1.0,the indoor ,Christian,Indeklimaet i SATS valby er så ringe at…,1.0,the ind,213.0
59,199,"Now this center at Frederiksberg Everyone soon had a sauna theme throughout the center for a month, now get the ventilation system done.",8413a258-Christian.csv,-1.0,,,,-1.0,now this ce,Christian,Mangler ventilation...variere end sahara,1.0,now thi,214.0
60,204,"Terrible course with the rate, Sats sends mine to the debt collection even though I have given both my account and short information. Shame you.If I could give 0, then I would have done it.",8413a258-Christian.csv,-1.0,,,,,terrible co,Christian,Forfærdlig forløb hos sats,1.0,terribl,219.0
61,208,Love this gym! Best instructors and facilities. Only FW gym on Funen that has Crossfit classes. Very good and big crossfit area as well,8413a258-Christian.csv,1.0,,1.0,,,love this g,Christian,PureGym Odense,5.0,love th,2.0
62,211,"Good equipment , not a busy location so it’s great. Staff friendly 😊",8413a258-Christian.csv,,1.0,1.0,,1.0,good equipm,Christian,PureGym Odense,5.0,good eq,5.0
63,214,"Friendly staff, good instructors and nice bathing conditions",8413a258-Christian.csv,1.0,,1.0,,,friendly st,Christian,PureGym Odense,4.0,friendl,8.0
64,216,"Ventilation in the summer is terrible, otherwise decent place",8413a258-Christian.csv,0.0,,,,,ventilation,Christian,PureGym Odense,3.0,ventila,10.0
65,219,"Clean, nicely structured, good and well maintained equipment! 2 thumbs up.",8413a258-Christian.csv,,1.0,,1.0,,"clean, nice",Christian,PureGym Odense,4.0,"clean, ",13.0
66,226,"Good gym with a very varied set of available equipment. Prices are cheap and it is open 24/7 with card access. Combined with good cleanliness and friendly staff, it's a good place to get in the daily workout.

Note that unlike most other gyms in the area, this particular Fitness World allows a cheaper membership that is ONLY valid for this one location. If you don't want access to multiple locations, this can yield extra savings.",8413a258-Christian.csv,1.0,1.0,1.0,1.0,,good gym wi,Christian,PureGym Odense,4.0,good gy,20.0
67,234,I broke my back,8413a258-Christian.csv,-1.0,,,,,i broke my ,Christian,PureGym Odense,4.0,i broke,28.0
68,240,Gloves for boxing are very bad,8413a258-Christian.csv,,-1.0,,,,gloves for ,Christian,PureGym Odense,1.0,gloves ,34.0
69,249,"Bondovej gym has been my regular and favorite gym for the last 2 years. Primarily because, in my opinion, it is the best pure gym center in this part of Odense🙃

equipment :
there is a lot of different equipment to choose from and it mainly consists of technogym plateloaded and machines as well as cable towers and there is a good mix of new and old, which appeals to me as I am a fan and often like the old equipment best. There is a sea of ​​grips and handles for the back and the same for the tricep and bicep. The only thing missing is a good seated cable row 🤫

Atmosphere/premises:
The center itself is divided into 3 large rooms with lots of space and high ceilings, it gives a nice spacious feeling even when there are many people. The division is great and is set up in a very logical context. The people are super nice and nice and there is really a feeling here that there is room for everyone! 🥰

Service:
The employees are just the nicest people and there is always time and energy for a hello or a little chat 🫠they are good at receiving rice and praise and listening to us users, so a huge pat on the back from here and keep having one of the best gyms in Odense😉",8413a258-Christian.csv,1.0,1.0,1.0,,,bondovej gy,Christian,PureGym Odense,4.0,bondove,43.0
70,251,"This gym offers all items, equipment and facilities that you would need. There are two big weightlifting areas (including barbells, dumbbells and machines), a big cardio area (treadmills, crosstrainer, stepper, cycles, ...), an area with the usual workout machines, a TRX area and in the one weightlifting area you have some open space to do your own workout (there are spinning ropes, medicine balls, kettleballs, asults, ringes, etc.). Moreover there are two course rooms (1 for spinning, 1 for everything else). They offer a decent amount of fitness classes (the only thing I am missing is Body Combat). And I really like the 'freestyle' courses like Crossfit and Functional, because they include different equipments and are usually with only a few people so the trainer can focus on you. Everything is very clean, including the shower facilities. There is also a sauna and a steam bath. The ladies changing room comes with big mirrors, hair dryers and hair straightener. It's usually not to crowded and in my opinion super cheap (99 DKK for students).",8413a258-Christian.csv,1.0,1.0,,1.0,,this gym of,Christian,SATS gym in Aalborg,4.0,this gy,45.0
71,370,"They raise membership prices without any warning, they closes the sauna without any explanations or due date, it takes them weeks to fix broken machines, and the changing room are usually disgusting at all times. No need to mention it is overly expensive, and that they don’t offer membership options (the only one being Mon-Fri until 3pm VS anytime, for 40kr difference). Furthermore, they brand it as Spa when there is only one small sauna which just reopened after several weeks, and is now missing features such as time and sensor. Unacceptable.",8413a258-Christian.csv,-1.0,-1.0,,-1.0,,they raise ,Christian,SATS gym in Copenhagen,1.0,they ra,164.0
72,375,"Recently upgraded with new machines on top floor & Additional weights.
Kept decently clean, usually not too busy, sauna, large stretch/mobility area. Great staff.

The downstairs is where it's at. Racks on racks on racks all with full platforms. + A grass area for sleds and more.",8413a258-Christian.csv,,1.0,1.0,1.0,,recently up,Christian,SATS gym in Copenhagen,5.0,recentl,169.0
73,382,"Unfortunately the gym is quite filthy all around. You cannot go and stretch on the mats without seeing the whole floor and the mat covered with little flakes (skin, dandruff...) and the smell of sweat. The dressing rooms are not any better. Generally, there should be cleaning happening at least 2-3 times a day. Now I already spoke with the employees and they said that they are doing it themselves and they only do it in the morning. That is a shame that the floor workers are taking care of the cleaning when there should be professionals doing it. This is not good enough. Additionally, the gym equipment and dumbbells are left lying around after use, so you cannot tell whether people are still using them. Not worth the money.",8413a258-Christian.csv,-1.0,,,-1.0,,unfortunate,Christian,SATS gym in Copenhagen,1.0,unfortu,176.0
74,384,"The workers from the reception they don't even move... the service its so so bad... They don't have any qualification, the guy who gave me the subscription he didn't know how much I would payed and he lied to me.. he told me one month free, and I didn't get any month for free.. its was scam. Horrible service.",8413a258-Christian.csv,-1.0,,-1.0,,,the workers,Christian,SATS gym in Copenhagen,2.0,the wor,178.0
75,387,"For the money you pay the quality of the gym is very low.
- very dirty, everything is sticky
- for some reasons there are like hundreds of cardio machines and limited of lifting machines
- machines placed in a completely random order
- lack of weight plates and no order for these either
- showers slippery one needs to have Spider-Man abilities to walk there
- showers and sauna very dirty
- ok friendly staff",8413a258-Christian.csv,-1.0,-1.0,1.0,-1.0,,for the mon,Christian,SATS gym in Copenhagen,2.0,for the,181.0
76,390,"+ Big, nice view from some parts
+ Two nice saunas

- Small locker room, pretty dark. The lockers are tricky sometimes
- Crowded. No space because they have put equipment and machines in every corner of this gym?",8413a258-Christian.csv,0.0,1.0,,,,"+ big, nice",Christian,SATS gym in Copenhagen,3.0,"+ big, ",184.0
77,391,"Small but cozy gym. Always very clean, well maintained and in order. The space is very open, doesn't feel suffocating. The equipment feels new. The atmosphere is great — people are respectful and welcoming and the employees are warm and friendly. It's not the biggest gym but has everything you need for weightlifting!",8413a258-Christian.csv,1.0,1.0,1.0,1.0,,small but c,Christian,SATS gym in Copenhagen,5.0,small b,185.0
78,393,"Medium size gym with aerobics classes. Instructors and staff are professional and friendly. Amazing view over the water from 1. floor. Parking can at times be challenging and a bit hazardous, as the beach road is quite narrow with a lot of traffic, so be careful when exiting or entering car!",8413a258-Christian.csv,1.0,,1.0,,-1.0,medium size,Christian,SATS gym in Copenhagen,4.0,medium ,187.0
79,397,"The legend has it that the Sauna used to function once… it’s been out of order for months now. Escalators always out of order... 4 soap dispenser in men’s shower, always empty. So far worst Sats I’ve been to.",8413a258-Christian.csv,-1.0,-1.0,,,,the legend ,Christian,SATS gym in Copenhagen,1.0,the leg,191.0
80,398,"While it is spacious and with the ability to brag about a wide variety of equipment, the standard of several machines, is low. Many of the treadmills are particularly noisy (moreso than one would normally expect) due to lack of maintenance, same with the exercise bikes. Lack of maintenance is one of the major characteristics of this center. Things are more than often quite worn, or parts might be missing from certain equipment.

While the staff is friendly, they don't, in my experience, care much about upholding the rules of the center. At this point, after 1,5 years of attending this SATS, it seems the the patrons can behave however they wish. People lob around their backpacks and dufflebags in the training area, they go barefoot and may talk on the phone loudly (normally I'd be completely fine, but the noise level is consistently high, even if I wear headphones blasting loud music). Along with this, hardly anyone puts the weight plates back where they belong and even fewer wipe down the machines/equipment after use (The older crowd is good at cleaning up after themselves though, kudos)
The mens changing room is usually not that pleasant an experience, the patrons like to cough and blow out their snot and phlegm  into the only sink in the dressing room, providing the rest of the patrons with even more unsanitary conditions. Sometimes it smells like someone is cooking in there. I'm yet to find the source of it, but it's an odd smell for a changing room.

All in all, the center could, by providing the patrons with proper, sanitary and pleasant exercise conditions, flourish much more than it is now. I believe it would take a good effort from the again, friendly staff, by making sure that rules are followed by the patrons.",8413a258-Christian.csv,-1.0,-1.0,0.0,-1.0,,while it is,Christian,SATS gym in Copenhagen,2.0,while i,192.0
81,406,"Messy, unorganized and strange gym culture. Very urban.",8413a258-Christian.csv,-1.0,,,-1.0,,"messy, unor",Christian,SATS gym in Copenhagen,2.0,"messy, ",200.0
82,409,Mohamad was a great help and went above and beyond. The customer service is top notch and I would recommend Sats to everyone!,8413a258-Christian.csv,,,1.0,,,mohamad was,Christian,SATS gym in Copenhagen,5.0,mohamad,203.0
83,412,"I don’t usually write reviews but this is by far the worst gym I have tried in my life. Equipments are old, staff is not friendly/welcoming, minimal classes outside work hours (who’s going to them?!?), no warning that cycling classes need your own shoes (what a waste of time turning up) and I was told there will be English classes (no one spoke English). Save yourself the hassle and join another gym or are all gyms this terrible in cph?",8413a258-Christian.csv,-1.0,-1.0,-1.0,,,i don’t usu,Christian,SATS gym in Copenhagen,1.0,i don’t,206.0
84,416,"The star is only for friendly staff.
The gym itself is a mess, and looks like no one is keeping it clean.
Sauna not working. Showers are under renovation but they didn’t install emergency showers either. Not even to mention the changing area 🤢 with old fashioned method of lockers.",8413a258-Christian.csv,,-1.0,1.0,-1.0,,the star is,Christian,SATS gym in Copenhagen,1.0,the sta,210.0
85,423,"I have been coming here on and off for 5 years. And it gets worse every time I return!
The hygiene in the bath and sauna is under all criticism! Toilet paper, bottles and water on the floor! This is not an isolated case! There needs to be a stronger member policy in the house and more cleaning

Training facilities etc are good",8413a258-Christian.csv,,1.0,,-1.0,,i have been,Christian,SATS gym in Copenhagen,2.0,i have ,217.0
86,425,"Best place to train in kbh, free parking, and really nice helpful staff",8413a258-Christian.csv,1.0,,1.0,,,best place ,Christian,SATS gym in Copenhagen,5.0,best pl,219.0
87,430,"Partly reasonable gym in the morning and afternoon, but after that it goes downhill. The evening is terrible: shouting groups of young boys who mostly use Sats as a youth club. But the worst part is that it is filthy in the evening - especially the toilets and bathrooms. There is a lot of snuff and wool from socks in the bathroom that needs to be cleaned - and no one mops the floor (neither staff nor users). The sauna and steam bath (closed) are clammy after a whole day of sweat. People use their own rules regarding the sauna, e.g. having an unofficial party with music in the sauna, so that others cannot enter without stinking of peppermint. The training area is also pretty minimal, e.g. no Precor machines or the like. Ventilation is almost always switched off (certainly to save electricity), which means that the air is heavy in changing rooms - especially in bathrooms, water drives down the walls and windows. The air is generally bad in the training area - and in addition there is often a smell of cigarette smoke and car exhaust, which comes down from the parking garage due to drafts (the glass doors are typically completely open). There is also a lot missing compared to previously under Fitnessdk, for example. free coffee. The quality is just decreasing and the clientele is going in the wrong direction: more suspicious types in the evening (and it's not the ones from Gentofte).

Bad gym!!!",8413a258-Christian.csv,0.0,,,-1.0,,partly reas,Christian,SATS gym in Copenhagen,1.0,partly ,224.0
88,434,"After having been a member of Fitness World for 10 years, I chose to switch to rate and keep then a difference. Better machines, more dumbbells, and much more welcoming staff. It is clearly the best decision I made when I chose to switch to rate.",8413a258-Christian.csv,,1.0,1.0,,,after havin,Christian,SATS gym in Copenhagen,5.0,after h,228.0
