Unnamed: 0,author_name,text,annotator
59,Jonas Vesth,"I tried to create a membership in a plus membership when you saved 30% for the next 6 months if you were a student. After I activated this discount on the website it wasn't activated when I had to pay when another campaign (which was more expensive) apparently overlapd the study discount.So I went down to one of your centers and tried to set me up there, but neither did I manage to get started with the 30% study discount, despite the employee calling her boss. Here she did a good attempt.So unfortunately it was the weekend and I couldn't contact customer service until after the weekend. In between the campaign is apparently over. I get written to the chat today and meet the most incompetent young worker who after I explained my situation, writes ""We unfortunately don't have the discount anymore."" There is absolutely no help to pick up from customer service from Oliver..",all
60,kunde,"I've come through years and there's a friendly service, as well as good instructors.",all
61,Bodil,Ok center.,all
62,Viggo,Have been training in FW for many years and are happy about it. Fantastic staff in Cone Lion.,all
63,Stig Bertelsen,Holte pure gym....Lighty center,all
64,Hans Haid,"friendly, clean, good teams and machines",all
65,Mikkel ,Not a large enough range of machines in my center. It's weeks before faulty machines are repaired.,all
66,Peter Olsen,It's nice to pull along with the mogen others.,all
67,claus andreasen,"The equipment is worn down many centers, something is directly dangerous. That should really invested in new equipment, greeting member since 2011",all
68,Dorit Ibsen,"Very good and inspiring team training. However, there is a lack of team training in all centres.",all
69,Consumer,Pleasure clean and neat all over the place.,all
70,Susanne Henningsen,Friendly and happy service. which is clean and neat..also in the hooks,all
71,Hanne Bruun Blaabjerg,"Cozy place, good atmosphere, room for everyone, the personal trainers are skilled giving away a lot..It's a nice place to train",all
72,Serguei Chiriaev,Well-equipped center with very friendly personal,all
73,Kim Thor Bakkendorf,"It has not yet been possible to remove the fans that cause false cooling and thereby accidental damage. This problem has been brought to the attention several times, both local and member service. Nothing has happened.In addition, many wear surfaces are worn and should have long since been replaced.",all
74,stina just,"Good machines that are a good atmosphere in the center, very nice staff",all
75,HelleB-W,Missing tight up teams in Freedom and Library Road,all
76,Thomas Kirkegaard,"Good training conditions, clean and neat, well maintained, good instructors",all
77,Henrik Brendstrup,Really a good center that understands that good atmosphere and a good relationship with customers is just as important as the equipment. I am very satisfied.,all
78,Lars T L,"Very difficult to report as there are so many different levels, from gym to gym.",all
79,LH,For old machines that break constantly.Treasers to get the machines replaced,all
80,Simon Thomassen,"I think it's very good that everything I need, I get help when I ask about it.",all
81,Mette,Inspiring director and glorious atmosphere for Bike,all
82,Jane Rohde Olesen,"Lovely quiet center that I need, but there is still poor ventilation and the machines that are in use must be fixed in the foreseeable future.",all
83,Eva Bang-Hansen,"Good training, good ambience, level to suit everyone",all
84,nala2cheer,Good center on almost all points. The rest is up to the participant,all
85,Janus Morthorst,Forgot something in my car and goes down and comes back and now Pure Gym writes the card reader handback time.This was a very bad experience and therefore I can only give a star.Fix it now.,all
86,Marianne,There are many opportunities for varied training and many skilled instructors.The biggest minus is the indoor climate in the classrooms that is under all criticism.The employees are friendly and helpful.,all
87,Michael Ellegaard,"Keep the experience, with super relevant and skillful teaching",all
88,Marianne Holbæk,Fantastic director..fun and amazingly good..,all
89,Christina,"Mega skilful in the architect (Anne Sofie, Viborgvej)",all
90,Poul Tomsen,Machine park poor quality. Poor maintenance of machines.,all
91,Kirsten Halkier,Effective time with good instructor to tight up.,all
92,Michael,"In the past, it is very few that do this.Why don't you put up signs and draw attention to this.",all
93,Klaus,"There has gradually been general dissatisfaction among members, on the level of cleaning and on the condition of the machinery. The paradox is that the price has increased while the quality has gone down. In this respect, it is also disappointing to hear that the centre on Østervoldgade is apparently a low priority centre.Everything suggests that Østervoldgade could be a good centre: good size, in the middle city and delicious rooms, but it requires effort, in line with the one previously established.The centre has been run very competently in the FW days by female center managers, so no names have been mentioned.",all
94,Joakim,"Find another placeCreates me at the reception, he writes my mail wrong and I didn't think about it anymore at the moment, I thought I was bug created and didn't come any more. Find out 2 months later I now have to pay for 2 months, even if I haven't received emails or been in their center. A big mess.",all
95,Lissy Kristensen,"Good facilities, welcoming staff, fantastic team trainer",all
96,NatchayaKhunnam,I wasn't allowed in changing room. Then came suddenly em manager and complained that there was a customer who said to her that I was on video calls with someone in changing rooms. I knew the manager my mobile screen that I was only on Al. Sound call. Then came suddenly em manager and complained that there was a customer who said to her that I was on video calls with someone in changing rooms. I knew the manager my mobile screen that I was only on Al. Sound call. Then she should look out about it and ask me first if it was true that I was doing it in changing rooms. I didn't have to change her case that I was also allowed to speak in changing rooms at Al. Call me!! In changing rooms!!!!!!!!) I said to her that the others also did it was true that I was doing it in changing rooms. I didn't disturb others. I didn'd not. There's no prohibition to talk to speak in dressing room against house rules.!!!! I didn've always on silent on my mobile on my mobile phone!!!!!! I didn no talking on my phone!!! I didn on to the other I didn! I didn! I didn! I did not know the other I was on the other I didn! I didn! I did not know the other I was to the other people I did not know the other people I did not know the other people I did not know I did I did not know! I did not know! I didn! I didn! I did not know! I was to change I am I am I am I am I am I am I am I was to do I am! I am I am talking! I am I didn! I did not know I did not. I didn! I am talking! I am I am! I didn I didn I didn! I did not know! I did I am! I am I am I am I am I am I am I am I am talking! I' I' I' I' I am talking! I am I am I am I am I am I am I am I am I am I am! I am I am I am I am I am I am I am I am I am I am! I am!!! I am not. I' I' I am talking,all
97,Preben Valeur,I pay for my son who is now studying in Italy. We try not to pay first as it is enough for a statement in many places. But there is a bill coming. My son cannot sign up as I pay and I can't unsubscribe as the email address doesn't fit. It is closed for support this weekend and since I finally find a physical store with staffing it is October 1st. They know that he can't use the 2 extra months membership - since he is in Italy - which we are now forced to pay but yet demand that we pay for October and November - as their rules say. Very little service-minded. Find a better and cheaper place.,all
98,Consumer,"Zumba and tight up with Louise Pilgaard is one of the best. Best director who with his positive attitude manages to give us all sweat on the forehead and smile on the lip. Loves to train with her, and she gets my warmest recommendations.",all
99,Stine s. Punar,"PureGym gets 5 stars - have trained in the center - the centers for many years now also as it was called fitness world. I am very satisfied and could not imagine me training in other center. Good atmospheres and cute employee. Always clean and nice. However, I'm not quite happy with the new machines that come around, they're not made for small people. They're not as good as the old ones, fortunately they haven't changed out in all centers yet. But otherwise I can only recommend PureGym.",all
100,adam hansen,"Sign me up at the reception due to poor conditions, accepted. Anyway gets bill. Says up again this time with signature. Contacts the support that doesn't understand the problem - doesn't follow up as I point out the problem. Pays bill via sent app. Apparently not working. Gets new moves and now incasso. A dirty mess shop. Find another place. For your own sake.",all
101,malou pedersen,"Completely fantastic experience with good energy and sweat on your forehead. If you try bodyattack, I can definitely recommend Marie, who does a varied, hard and fun workout.",Gino
102,Consumer,"No climate facility and it makes there always stinks in the toilets and get too hot in the center in the summer and then it's too expensive to be a member.They're all about the apple juice and I'd like to praise the staff at the center for doing what they can, but there's one climate facility missing.",Gino
103,Anna Zejden,"Latin team training is recommended for everyone. You get plenty of good energy and create a good mood, just within 50 minutes. Fantastically skilled and sympathetic instructor and well seen songs make you happy for the rest of the day. You can't invest better in your physical and mental form!",Gino
104,Christoffer Boesen,"Nice welcoming staff.It's always clean and nice.Good machines, some old people may need a shift.And there are plenty of new ones.",Gino
105,Kat Rosholm,"Expensive fitness center where you don't get enough for the money. Long notice period when you quit. Collects monthly payments, despite payment agreement, so suddenly you have to pay 600 kr. at once instead of 300 kr. per month. Lots of unforeseen fees. I have to get back to fitness X, that's for sure.",Gino
106,Sigrid Lehmann,Because Nicki Seneberg is the best director and manages to create the best atmosphere.,Gino
107,Srdjan Petrovic,It is nice that there is always clean and the machines are relatively new and ready for use.,Gino
108,Alicja Nowak,"The best community ever • Huge big gym, always clean top class, welcoming personnel, good music, phenomenal trainer (especially Nicki",Gino
109,kunde,"In the years I've come here, it's always a friendly service.",Gino
110,Kasper Kudahl,"Almost impossible to reach someone over chat, should have quit my subscriber which teased. Couldn't get an employee over the website. Thought so succeeded and thought everything was fine. Now they've sent me a bill 2 months after I quit that I'm still a member.. mess!!",Gino
111,Mette Lise Johansen,The Best Instructors,Gino
112,Dennis Sode,Many old fittnes machines as well as lack of maintenance,Gino
113,Rikke Erbs,"It's okay to workout, but there needs to be cleaned continuously.",Gino
114,Frank Ørsted,Nice and friendly employees a good place to train I'm happy with smiles,Gino
115,Jane Marie Højberg Jensen,"Super cute staff, and rarely crossed the gym.",Gino
116,Jesper Joes Petersen,"Extremely bad center in Elsinore.And in other cities it is rumoredAfter they have chosen to close 4 of the 7 toilets in the center and removed half of the lockers, out in the locker.",Gino
117,Sussie Persson,Maintaining 1 star - I could give less I did - reply from Lukas clearly shows that they were totally equally happy with the customers - and no she wasn't cleaning it was long gone. PureGym has become a money machine - had today - for the first time forgotten my card and had to have help getting in - the price of opening the door is 30 kr - that despite being a regular customer for almost 2 years and putting money in their store for 6 months at a time - I am furious it is by no means all right,Gino
118,Torben,"Good opening hours, usually easy to get to the machines. Super good feeling afterwards.",Gino
119,Pia Jellerup,I like most centres I've been in physically. I think that the level of team instructors has fallen a lot over time. How are your work environment and pay etc.? Why can't you keep the good instructors?,Gino
120,Casper23,"Our center is really good and the staff, led by Mike, are enormously accommodating and helpful.",Gino
121,Popsi,I tried a report a client out of pureGym it's completely impossible. Their service is not existing. Their instructions do not work. Super bad service. Popsi Kiel,Gino
122,John M�lich,"Cozy and nice people, I was welcomed by the staff. Good and focused environment in the training areas.",Gino
123,Steen Jæger,"A cardio machine park that is mildly indecent. The staff do what they can and there's nothing wrong there. But the center doesn't live up to any standard at all. Keep offers that are completely ridiculous. It seems as if the Sønderborg center has run out of the group's focus and just has to sail its own lake in the best possible way. It's almost embarrassing to say you train in PureGym in Sønderborg when you're asked where you're training. Now get the otherwise cool center updated to present standards. You see your advertising spots on TV in the center with advertising to train on various machines that so many people don't even find in the center. The other centres in town have gradually got new engine parks and chatter about people who go to other centers, which can be seen clearly at certain times when before there were many out to train in the morning/morning day for you to almost have the center for yourself today.",Gino
124,jan petersen,Good center.good facelites.good machines.a small minus for many teenagers use it as a living room,Gino
125,Rikke,"Good team, variety, great teachers",Gino
126,Lars Lindsby,"PG-Stagehøjvej in Silkeborg is a smaller and worn but cosy and well equipped place to train with friendly and skilled employees,",Gino
127,Noixbusiness s,Puregym is pure scam.The prices that stand on their website are misleading,Gino
128,Bogumila,It was nice to get to training as it is close to my residence. Pleasant atmosphere and clean. Always helpful staff present.,Gino
129,Hanne,There is a lack of senior trainers.The cleaning has deteriorated,Gino
130,Melanie Jene Nielsen,Friendly employees and a lively place to train.,Gino
131,Henrik Weinrich,Good machines as well as fine rooms after it has got new colors.,Gino
132,ravnK,"Nice center with the cosyst atmosphere, service-minded employees and the best instructors.Counts all days and all teams.",Gino
133,Christina ,"Very good fitness chain, with good teams, good service, good machines and facilities.",Gino
134,Jonas Friis,"Not possible for free trial training, to see if you should switch to Puregym rather than the current gym. Cost 69kr. for a training. Never join PG on this basis.",Gino
135,Azam Yousaf,I didn't seem to appreciate the old loyal members. You keep chasing new members with offers. You should care for the old ones with e.g. giving the old members the same offer with cheaper subscriptions.,Gino
136,Kunde,Good instructor at bike team. Sweet fellow bikers.Unfortunately still poor bath conditions. Too low pressure on the water in the showers when we are more than 2 in the shower simultaneously •,Gino
137,Bettina Jennifer ,Trained for many years. Always a pleasure to get into Pure Gym. Nice and clean. Large selection of machines and accessories.,Gino
138,Nico,Good large bright rooms. Good selection of machines and friendly staff.,Gino
139,Oleksandra Khiubner,"Good location, enough equipment, what I need",Gino
140,Frederikke K,"I can't change my subscription via the app/browser. Super super bad! Besides, it doesn't look like my student discount has been talked to.",Gino
141,Jakob S. Johnsen,"Good tools, great facilities, good atmosphere and welcoming staff.",Gino
142,Jens Corfitzen,"Bondovej good center, friendly staff and serious instructors",Gino
143,Kirsten,"Okay, I'm a little up in the years and a little overweight, but nice to come to your house.",Gino
144,Chris Olsen,"Great center, great machines and nice staff.",Gino
145,Sara Møller-Damgaard,"It is a super good center with good instructors, especially on the yoga team;)",Gino
146,Carsten ,"The machines work, staff at the center are happy, which gives a good atmosphere among us who train.",Gino
147,Cherif El-Ayouty,Such a serious fitness center should be,Gino
148,Gilbert,Good staff,Gino
149,Jan Mercebach,"All too often, the center in Goaløv is disgusting and dirty!:(And the machine with the All-In products is fairly often out of service.",Gino
150,Rasmus,RIGITG fine centerGood atmosphereClean and neatGood machines,Gino
151,Dennis Corlin,Cozy center. Clean and neat. Serviceminded staff. Customize with tools.,Gino
152,Flemming Stucker,"High to the ceiling, and fantastic staff who keep clean and are always visible.",Gino
153,Lars Kruse,"During the transition from Fitness World to PureGym, old memberships have been allowed to continue at the double price - without making members aware of the new prices. It's cheating and deception. PureGym's member service has confirmed that they haven't alerted members to the changed prices. Therefore, check if you pay too much and which I have paid too much for about 6 months. Cheating and deception!",Gino
154,Jesper V�ring Linddal,"Not much has happened in the center that was promised in the spring.There are other things to mention:-Sound dampening in the spinning room-Retention in the changing-That there would be control of the ventilation, which doesn't work 100%Little deaf, since after all it isn't cheaply use the centerMen super nice staff.",Gino
155,Finn Brandi,"The machines are okay, but when you train early in the morning it's not always clean and the sound level of the music is quite high",Gino
156,Gitte Ellis,Good atmosphere and surroundings have got a nice uplift.You always feel welcome.,Gino
157,Jesper Kristiansen,Local centre Fredensborg closes October 1st,Gino
158,Pia Have Pedersen,"Clean, maintained, safe, anonymous, perfect for someone who's nervous about training.",Gino
159,Kim Hother Nissen,"Great training center with many options but more machines are gradually being worn out and it is difficult to see kilos indication,more loose grip needs replacement. men's changing clothes hang slightly in the brake.",Gino
160,Christina Fryhstych,"Nice mall, good",Gino
161,Per Haulund,"Only minus is, there are a lot of people who don't change shoes, which ultimately contributes to broken machines more expensive membership.They should have 1 warning and look like",Gino
162,Lars Mathes,"Overall a very good centre with good quality of equipment, but the bath facilities are worn out.",Gino
163,Lotte,A center where there is room for everyone.Helpful staff.Maskins for everyone and ok with choice of teams for my consumption.Indoor climate a little dry. Very nice and clean conditions and super good dressing,Gino
164,Henrik Persson,A comparatively reasonable price for machines that unfortunately do not always meet expectations,Gino
165,kunde,"Super training (stram up) just too bad that equipment like dumbbells is so worn out so the ""foam"" is almost worn away.",Gino
166,Jacob Fassler,"Having trained all over the world, I can confidently say this gym is definitely a must. Their daily fee is incredibly fair for everything they offer, I cannot suggest this gym enough. Absolute 10/10 spot.",Gino
167,Virginia Hutauruk,"Been to 40+ gyms around the world and this is one of the best. High quality equipment and they have everything you need.

Olympic lifting, all machines, booty area, functional fitness, delicious protein shakes.

Hagen at the reception is also very friendly. Owners please open this gym in Lisbon! 😀",Gino
168,OLIVER CREGENZAN ALBERTI,"Good location, reasonably good price for Danish standards, open 7 days a week, and super friendly staff by email and at the entrance.
Equipment not extremely new but very well kept, good space and when you join, they also offer a free coaching/personal session to guide you! 💪",Gino
169,Alissa Orr,"Fantastic gym with tons of equipment. Plenty of options and plenty of space to move around. Lots of racks, benches, dumbbells, kettlebells, bands. Cardio equipment includes plenty of treadmills, bikes, stair climbers, etc.

Plenty of lockers available and I was offered a combo lock if needed. Affordable day pass (60 dkk) was easy to pay. There was always an employee at or near the front desk who was quick to help.",Gino
170,Oussama K,"Best gym I’ve ever went to. Very friendly staff, fully equiped with everything and a great Schwarzi painting.
Ideally located with a fair day pass for travelers. 5/5",Gino
171,Amit K Mishra,All modern equipment are available at a reasonable subscription rate. Definitely I will join soon.,Gino
172,Mikkel Thygesen,"Good facilities, but it is in dire need of better climate control. It's only about 19c outside now but the inside the gym is burning (when doing workouts obviously). The group hall is even worse because they're not allowed to open the windows.",Gino
173,Christian Haugbølle,"Signed up and regretted my subscription within the 14 days cancellation period. I had a very, very hard time getting them to understand that I should not pay for the rest of the month + 1 month if I cancelled within 14 days (they even asked if I had actually READ their terms, which I had ... and turned out their center-leader had not, which was very awkward for her). I can't recommend Fitness World.",Gino
174,D Kar,"Huge training space. Good quality classes. Would be great for me if instructor use a little bit of English too for the people who don't speak danish.
I like fitness world.",Gino
175,Ivan Vlasov,"I checked on their website that they are open and offer one-time visit. I came, waited for 10 minutes - no administrator appeared (the client/members were there), and then I left this place.",Gino
176,Julie Taeko,"I’ve lived in San Francisco, Japan, Spain and now Copenhagen for a little bit, but this is by far the best gym I have ever been too for the cost. At this location, they have a live DJ from 4 to 8 PM on Monday evenings, and at the other location they have a live DJ at the same time on Tuesday evenings. It’s quite amazing for the price! It’s a nice thing to have as well to spice up the workout.

Plus, they have friendly staff, plenty of lockers to put away your stuff, a Zen room to do your own AI powered workout, and so many machines! Also, they have drinks and protein ice cream bars you can purchase.",Gino
177,Cyrus Hiatt,"Fantastic gym. I have been working out there for about 4 months now and enjoy the equipment, staff, and the fact that they are open 24/7. Would highly recommend if you are looking for a new gym in Copenhagen.",Gino
178,Mikkel Anderson,"Go here at night and it is like getting into a night club, great atmosphere and music is almost always on point!
There is a guy here, think he is called Rasmus, always smiling and welcoming. He gets you in a mood that forces all great energy into you and makes the lifts much better. Would highly recommend going here, and in Repeat I general!",Gino
179,Alberte Schmidt Koefoed,"Love the interior of this gym. Much better than any other gym I have tried. They have a great selection of equipment. However, the music is sometimes really really loud and the place can get quite busy during peek hours.",Gino
180,eclipseNF,"This gym has really terrible policies for drop in, day pass people, such as tourists like myself. I went there at 3:15pm on a Saturday, and the staff member told me I couldn't train because he was leaving at 4pm, and I was not allowed to let myself out of the gym without a staff member being there, even though it's a 24 hour gym and was full of people. Very bad policy for taking care of casual people like me who really want to train.",Gino
181,Carlos Olivo,Very nice gym. I got a week pass for 110 dkk or something like that wich is really surprisingly cheap for this quality gym. You can also do daily passes. The only thing to bear in mind that after 6pm and on the weekends there is no one to check you in so come before if you want to singup and then you can use the gym using a card until midnight.,Gino
182,Martha V. Shelton,"well appointed gym; not crowded mid
morning",Gino
183,Thomas Jakins,"Never really too busy but it is quite small. Like alot of fitness worlds it could update the machines.
Generally its very clean, its one of the better fitness worlds.",Gino
184,Hendrik H,Gym has only very limited service times. Impossible to workout after this time if you only want to workout for a day.,Gino
185,Sharad Govil,Great Gym- I was a bit nervous as this is my first time to a gym in Denmark but the front staff was very friendly and helpful. For 99DKK I could get a pass for a week. It opens from 5:30 AM to 10:00 PM. The timing showed in google is when front staff is available. You need an access card to enter so if you are first times from overseas go after 8:00 AM so staff can open the door for you.,Gino
186,Jon H,"Great gym and CrossFit lessons, I usually do drop in when I visit CPH. If you do not speak Dannish and are looking to do a drop in CrossFit avoid classes with the coach John David, he has a lack of interest and not welcoming to new members, the rest of the coaches are great.
I totally recommend this friendly gym.",Gino
187,Peter Hagström,Best crossfitbox I’ve been to so far! They got it all and is a must visit if you love Crossfit and is in town. Friendly people and great classes.,Gino
188,Lilya Moerk,Very nice gym. Good atmosphere and friendly people around!,Gino
189,Oskar W V,"Nice outside and inside gym, really nice owner, and cool New and smart equipment!",Gino
190,Can Deger,"The best gym by far, I have seen in CPH",Gino
191,J Masnec,"Ok gym for a chain. Slection of machines is good, slection of classes not so good. Not crowded. Highlight is the two squash terrains. Downside - you cant reserve them online if you're not a squash member. Fitness membership doesnt help, you have to have a seperate squash membership.",Gino
192,Isabel Monteiro,"Jesus Christ..
this place needs a deep cleaning !!!!  The shower is full of spiderwebs, the mats were all very wet of sweat..

Be careful at the room were they do boxing the wood floor is very slippery

Not enough  hygge but:

Friendly employees !
Cool time at the boxing class!",Gino
193,Ewa Palenta-Rusin,"I give 1 star more than #fitnessworld actually deserves for the great ""hold"" instructors. Otherwise it is a poor service fitness center that want to rip you off at every turn. I got a special offer when I signed up because it was FW birthday - ""All-in"" free for one month. It was the end of month and I did not get to use it at all. But to my big astonishment, it was an opt-in subscription service, so I was actually billed for the next month without even being notified beforehand! I cancelled it right away but I had to pay for that month anyway. So I used it a few times. And here comes the next surprise - again I was billed for the product I ""bought"" on top of my monthly fee.
I am asking, is that what a reputable fitness chain do? I doubt..",Gino
194,William Maddocks,"One of the better fitness worlds, nice and open, high ceilings, nice facilities.

Only thing that stopped it being 5 stars is the lack of cleanliness in the bathroom/shower areas sometimes",Gino
195,Kirsten Evans,"Great place to work out, the Dance Fit class was really good.  But as with all FW centers a good cleaning, would be great!",Gino
196,Bartosz Gałecki,"Air conditioning is not turned on. Instead they put a couple of fans around the gym, which just move hot air around. Not super clean but I've been to worse places. Some machines are broken for weeks without maintenance.

Good thing is that people put the weights back",Gino
