enterprise,author,rating,review,platform
PureGym,Mikhail Nikitin,1,"One can talk about broken machines or dirt in the changing rooms, but I realize that things can't be ideal all the time. So I'd say it all goes relatively well until one needs to talk to someone beyond the helping guys in the centre. The company doesn't have a phone number to call. They have a chat, which main purpose seems to relay a message ""Fill in the online contact form"". When you do, there is a waiting time from hours to days. And if you get an answer, it never changes regardless whether you can prove them wrong or lying. They merely stop responding. And there's nothing you can say to someone who is not willing to listen.",Google
PureGym,Huttan T. L,1,"As someone who have been in all FW's in Copenhagen, this place is by far the most horrid. Rude staff who seems like they hate their life. They lack a total grasp on how to give service (Talking ESPECIALLY the female ones). There is also ZERO atmosphere and place is very dirty and STINKS  utterly on each of its three (Small) floors . Just find another place than this, because this place is so outrageously bad it drains you from all motivation. Not exaggerating.",Google
PureGym,Lisa Apers,3,"Okay, it would however be really nice to have an indicator somewhere of how crowded it is. Also sometimes they play the music really loud (so loud that with headphones with noise cancelling even at the highest volume I can still hear it). Not even mentioning the music taste 😶.",Google
PureGym,Mathias Moslund,5,Good gym!,Google
PureGym,Krzysztof Turczyn,4,"This place is great!
They have all you need and they're open 24 hours, if it was even a bit dirty it's because lazy members do not know how to behave! People working there are trainers and office staff they are not your slave and they are not there to clean you mess! But there is one thing that drives me crazy and I was trying to ignore it but it is a bit hard now... the music when the staff leaves. If any staff employee of FW is reading it, can you PLEASE contact the staff in this gym and asked them to when they leave at 8 PM maybe set some radio or some motivational music? There was this one day that the song got stuck it was play allllllllllll night long, the same one song, and it was not even a good one, and literally after 40 mins I left coz not even my headphones helped. And yesterday there was some country music. In general after 8 there is always ""not the best music"" and I think if it's like this I'd prefer to work out in silence.
But otherwise as I mentioned great place.",Google
PureGym,Anton Nikolov,4,"The fitness center has been improved in the last months. Still no classes though. Otherwise, it has all the needed facilities for full body training. Third floor is the best one! Free weights! :)",Google
PureGym,Noah P,5,Great gym. 7 day free pass was available for traveling,Google
PureGym,Ricardo López,1,"Terrible.

They changes my membership 2 times without me telling to do so.
First time i has to pay a supplement of 100 dkk because a mistake of one of the brilliant guys working there.

Second time they set my main gym elsewhere, so today i had to pay 30dkk extra to go to the gym i usually go.

On top of that, the first mess they did was not fixed. It is impressive how Fitness World hire the brightest minds in Denmark.",Google
PureGym,Meritxell Fernández,5,Best FW center I have been too. Really clean and functional. The equipment is new and everything is in one floor. The only cons are the lack of hold classes.,Google
PureGym,Aditya Sachdev,4,Great place quiet a lot of space and all equipments are present.,Google
PureGym,Jakub Hupka,2,Please fix the gymnastic rings 🙏🙏 Otherwise decent gym.,Google
PureGym,Juan De Marzi,1,Weeks like this.,Google
PureGym,P-A M.,3,"I've worked out in three different gyms in Copenhagen and this one was clearly the worst. There aren't enough showers in the men's locker rooms and they are incredibly wastefull in water. Another low point is the door system letting you in the gym, which keeps denying you the entrance if you're not perfectly positioned inside the cabin - too much fuss for nothing. Also, there are many annoying teenagers that aren't there for serious training, they're loud and using the equipment for fun while other people want to go on with their workout.

Otherwise the amenities for the workout per se are good and various.",Google
PureGym,Jonas Vilkevicius,1,"Service has improved for the last 6 months, better management. However the audience that comes there is poor,  people are aggressive, taken several machines at once,  or sitting on one machine for ages prohibiting others from training, noisy, have no respect to others, often screaming . Needs some education on general public as many have no intelligence how to behave",Google
PureGym,David Berger,4,"I’ve been a member for 3 months, and I’ve got to say the new management is doing a great job. Clean, open and welcoming. Not too many machines, but plenty of room for circuit training.

CrossFit, cardio, stretching, body weight, running, free weights, and machines.",Google
PureGym,Geraint Nott,2,"A lot of young people go to this gym, and don't appreciate or follow gym etiquette. Often leaving weights where they use them, don't clean the machines after use and often sit for a long time looking at their phones. The gym is not staffed all the time and so no one tells these children to clean up after themselves.

Otherwise the gym is fine with modern and working machines. It can be a little cramped in some areas where the free weights are used, but this wouldn't be a problem if people were not so entitled and treated it like their personal gym.",Google
PureGym,Mike Martins,1,"The average age of the members in this gym must be somewhere around 17/18 at the most. Its pretty close to a folkeskole, hence you'll find alot of kids and teenagers in this gym.They come in large groups and take all the space (in an already very small gym) by basically playing around, acting like they're at a playground.

Other than that, the gym is very dirty and messy (This is also due to most of these teenagers neither sanitizing/cleaning up after themselves) and the music is too loud as well as being very poorly choiced songs.",Google
PureGym,Stephen Kaplan,5,"Not large, but never really crowded. The most spotless fitness club I've been to.... They are constantly cleaning and members take care of the equipment also.",Google
PureGym,N H,4,"Good place, fun courses. However, some of the info is hard to access, as most of it is in Danish only. Sometimes courses get cancelled, and I do not receive a message about it, although I have signed up.",Google
PureGym,Stefan Müller,5,"Good fitness center with weekly memberships, perfect as a tourist. Many Courses and access to every center they have (and they have many in Copenhagen).",Google
PureGym,Yousef Elnono,1,Some of their machines are old and in need of maintenance. Their treadmills are in really bad state but as you can see on the picture a technician is on the way. Months and months has passed and no sign of this technician. If you tell the staff in the center or contact then on email they will say that the they have escalated this issue but the fact is the management don’t care. It will soon be a year with no repairs being made…,Google
PureGym,Stefano Rosciano,1,"I'm foreigner and what I perceived from this gym it was:

Some of the staffs are incredible unprofessional.

Employees must be trained on which are the rules and procedures.

P.s. a bit of politeness would be appreciated

Thank you,

Steve",Google
PureGym,Anthon Anthoniussen,2,Not the best I have been at but need some more times at the Gym before evaluating,Google
PureGym,Muhammad Naveed Anjum,4,Good,Google
PureGym,Zilong Liu,5,Few people，just do yourself and feel cozy……,Google
PureGym,Cristofor Mamaliga,1,"I trained there one day, so no idea about people working there, but what I know is that the management should be ashamed charging such a high price for membership, offering such a small but really small gym. Is like taking a ride in a full bus! Shame on them !",Google
PureGym,Diala Géo,4,"Fitness world interesting sports club  there is a variety of sports equipment, the staff are nice, you have to avoid peak hours because there is a queue for training, the problem that I found  there aren't all the information about roles of subscription, for example when you want to take a vacation you can freeze the month, or also if you want to unsubscribe this month you have to pay another month and it was the surprise for my case and all this information is not clear at the beginning. in my opinion it better that they give notes about all the ruls and the options with 2 languages Danish and English for be Easy for all people or put it on the wall in the reception",Google
PureGym,Rastislav Pitek,1,"I cannot comprehend how anyone could open a gym of this size without thinking about any ventilation or air conditioning whatsoever. Its humid, smelly, unpleasantly hot and always crowded… Not to mention that the distribution and number of equipment is terrible… Say good bye to bench press - you wont be able to find empty bench for you.
(But the staff is nice and kind)",Google
PureGym,A. Sam,1,"Terrible customer service! I once been there as a guest to a class under a friend’s membership (+1 guest). I have never had a membership there and has never signed up for one, yet I have been receiving emails to pay 4 months with interest for late payment?! - and then they started sending me new emails on my e-Boks. Since when I have given you a consent to do so?? Every time I stop by the gym to raise this, there’s no one to ask. and there is no number associated with the gym to call!",Google
PureGym,Patrik Belanyi,3,"3,5*
Good location, close to metro station.
Employees are nice and helpful.
Gym is usually clean but very small and you spend some time just waiting for machines.
Recommend to check favourite times so you can avoid busy hours.

Ventilation is probably not existing and there are so many people who don’t follow gym’s rules.
The price (319dkk) is not matching to what you get.",Google
PureGym,Anders Laub,4,4 stars only because membership provides free access to Frederiksberg svømmehal. Otherwise 2-3 stars since machines old and air is not proper ventilated. Nice and helpful ppl working there though.,Google
PureGym,David O. Andersen,3,Decent gym with lots of different machines and free weights. Quite small though and a lot of the equipment is a bit worn down. Gets quite busy between 4 and 7pm and I wish they were open longer on the weekends.,Google
PureGym,Loïc Poulain,3,"It's okay overall. Pros: clean, plenty of equipment, attentive staff. Cons (mainly due to the building): spread out over several wings/floors, short hours on the weekend.",Google
PureGym,Asen Georgiev,1,"It is a Danish only place. They threw me out because of not having a danish CPR. Who knows, maybe they will also impose some limitations regarding race and religion soon...",Google
PureGym,SY Cha,4,Could have better ventilation overall. Nice and helpful staffs. Bit complicated if you need to use the showers because it is shared with the swimming pool.,Google
PureGym,Tomas Sharky,5,"I think it's a great gym in regards to value price. Unfortunately there is no many branches. The gym is quite well equipped even with small basketball court, punch bag and paper towels. The whole gym has the urban vibe. I think it's good alternative to the well known ones in Denmark. The air ventilation does not seem to work properly, though.",Google
PureGym,Gregor Haeusler,2,"One star just for the nice location. The service ended his shift 10mins early and completely ignored me and another costumer waiting on the counter. The machines are mostly so old, they must be from the 90s. Not recommendable.",Google
PureGym,RUECKENWIND,1,"I'm shocked after reading reviews that are just 3 years old (urban gym) compared to today. Looks like it was a nice location some time ago. Since the last years the gym changed 3 times the owner. Now it's puregym and it's just disgusting. Staff (if someone is there, after 6 no one is working) is unfriendly and lazy, not motivated to help you at all. No introduction when I started there, no refund  after problems with the snack vending machines.

While heavy rain you can enjoy a shower from the roof. It's dirty as hell, everything sticks and it's disgusting to touch. And that's for all areas. Feels like the changing room is cleaned ones a week or less.

Most of the cardio machines are not working properly and cleaned max one time a day. It took 6 weeks to fix 3 bikes and 2 cross trainers. But still all of them have miss functions with the computer. To get the heart rate is a lottery and the rest of the numbers is also not working correctly. There is not even one digital clock in that gym, so smartphone or smartwatch is a must if numbers and timing is important.

If you want to take a class, good luck. There are just 2 offers at 3 dates in the week. But you pay for it.

I don't get why this location is one of the most expensive ones and I need to pay extra to train there. It's just scam and the worst gym I joined in the last 20 years.

So if you just move some irons and have lot's of experience it's totally fine to train with that old rubbish. With less experience and focus on different things you are totally lost.

The only good thing are the other people, most of them are friendly. The gym itself is just disgusting and not worth the money. That's just the review for that certain location.",Google
PureGym,Andrei Grigorian,4,"Great gym for the price and accessibility. Very well cleaned and maintained with all the equipment you would ever need. Large free training area, kettlebells, plenty of barbells and plates.",Google
PureGym,Tomas Podesta,4,"Honestly, its amazing. The staff helps you when you need it, its not expensive at all, you can train without any shoes, they have all the equipment.
The only problem is that the facility is not ready for hot days. But the rest its really good.",Google
PureGym,Anna Maria Kyritsaki,3,"It is an okay gym, some of the equipment are not working (like some of the treadmills), it has a decent variety of machines, there is some (limited) space for free weights and it does *not* offer classes.

Stuff is friendly, options of memberships are very limited. For example, you can't work out without starting a binding contract that states that when you stop the membership you'll have to pay the current + the next month. That's pretty strange as in another branch I could just pay for a week of use without any strings attached.

Other than that, you can surely do your workout here but it doesn't compare to other more central/maybe more expensive gyms.",Google
PureGym,Jakob Guldberg Aaes,3,"Well it's there, pretty messy and the equipment has seen better days",Google
PureGym,Ruman Mohammed (rumii),5,"Best every, the location is perfect.",Google
PureGym,Marian Andrei Iurcan XPREX,5,Great,Google
PureGym,Avni Hasani,2,"Okay gym, but lacking in many areas. Puregym on nørre voldgade fredericia has a lack of old and defective machines, a lack of cleaning and hand soap and the machine for all in is never filled. It is not acceptable with the 399 it costs for my type of abb",Google
PureGym,Ahmad Kasem Haidar,3,"Englandsvej, It's good and I enjoy training there with different machines BUT I didn't give 5 stars because we have to refill our water bottles from the toilet sink!
Hope they will make a separate place for water.",Google
PureGym,Sebastian,1,"Yet another Fitness World center, which have been worsened by the PureGym-makeover.
Strenght training has been compressed into too little space and instead they added a lot of useless cardio equipment for amateurs. It’s becoming more and more clear that the latter is the clientele which PureGyms wants to cater to - not us, who consistently go to the gym +5 times a week.
It’s such a pity with this systematic destruction of the relatively few good gyms we have.",Google
PureGym,horia cunea,5,"Great place and great staff, also Victor was very helpful ans answered all my questions very nice",Google
PureGym,Mikhail Nikitin,4,"After renovation they made an ""open office"" environment in the changing room. Bizarre. And still no soap or shampoo in the shower.",Google
PureGym,Jennifer C,5,"Excellent gym. Many locations, good value for money, friendly staff, well equiped and huge variety of classes.",Google
PureGym,Kristoff Green,4,Good place with proper equipment but horrible ventilation 😅 not good for summer 😅 but you can get to see nice views,Google
PureGym,Bence Nagy,4,"It's okay, has its variety but could use 1-2 more machines",Google
PureGym,Oliver Bastholm,4,"Big with most facilities, but almost always very crowded.",Google
PureGym,Hicham JOHRA,5,Amazing place !!!,Google
PureGym,Mia Wulff,2,"Don't spend time or effort giving them constructive criticism even if they ask for clarification on the bad review of the center in their app because they are not willing to improve anything even though they claim they will do everything to improve. They just want to use long emails to basically say ""That's just how it is""... Not one of them I would train in permanently as they are pretty bad machines compared to other centers... There are others in Aalborg that are far better..",Google
PureGym,YZ L,5,"Best gym in Aalborg city center!!! I have been training in this gym 5 times per week since 2015. Compare to other fitness world gym in Aalborg city center, this one is THE BEST. Always clean everywhere - machines, bathrooms, and even the training mat! Offers a lot of equipments, and many different training classes you can choose.",Google
PureGym,Dimitar Bikov,1,Ever since it became Pure gym they removed all the hand sanitizer. Disgusting place,Google
PureGym,Gustas Jucaitis,4,"Nice place, but can be quite crowded at times leading to extended waiting for the machine that you wish to use. The equipment itself is all good though.",Google
PureGym,Christian Segg,3,"Small for all the machines they’ve put in there. Smell of sweat due to bad AC.
Friendly staff though, and clean facilities.
Can be very crowded during holidays and weekends.",Google
PureGym,Frii,5,"Amazing gym, and most lovely staff ever!",Google
PureGym,Carlo Bronold,4,"Have been coming here for 4-5 years. All around good gym, isn’t ever too packed, has a good amount of specifically the machines/equipment that is in high demand such as squat racks, benches, pulldown machines etc. but no fancy stuff, only “essential” standard equipment. Prices are also good for beginners but I think a little high if you’ve been training here for a while and there are no beginner benefits left.",Google
PureGym,Inna Bortnik,1,Don’t like it at all. People who work there is never there.,Google
PureGym,Gary Decsei,5,"Been a memeber for 6 years. Great gym with a large space, not fully packed with all sorts of machines, but there are still enough machines. Really love it. The music is quiet too, though it could be a bit lowered on Sundays. Still, a great palce, love coming here :)",Google
PureGym,P Gh,1,"Despite having good machines and lovely physical space, the staff and customer service is unappealing. If you dont speak Danish, it is probable to get overcharged by mistake because some of the staff are not well-trained with the system besides having language barrier. I paid fee for extra months while my membership was supposedly on pause. They sent me bills without even sending me a notification about reactivation beforehand. At the end of the complicated way through the customer service, the result was: ""I understand you but sorry we cant do anything, you have to pay the money"". Yeah, this is sad to pay fee for months when you could have attended the gym but you were unaware.
That was by far my poorest experience of customer service in Denmark.",Google
PureGym,Yana Maksimova,4,"I train there. Not long ago they changed their machines which seem to be with less quality than the older ones.
If you want to train after work be aware that the place can be crowded. It is on convenient spot but due to that it can be also hard to finish your training on time.
It is clean and you can always clean the machines before and after usage.",Google
PureGym,matteo,5,Great for the daily grind this or another fitness world workes wonders,Google
PureGym,Przemysław Bronowicki,5,Everything I need !!! Thx,Google
PureGym,Mia Wulff,3,"Overall good center with proportionally good amount of machines compared to popularity. However, there is no hip thrust bench and only high benches, which means I have to go to another center for that exercise. dB is somewhat heavier than the other centers and the jumps between each weight are incredibly large at 2-3 kg. per steps. Bathing facilities could be better located. Nice and clean center which appears clearly. Lots of water points.",Google
PureGym,Jonna Kiis,5,Good facilities and good energy from the movers.,Google
PureGym,Ole sørensen,5,always clean and attractive premises,Google
PureGym,Roshni Chakraborty,5,This is one of the best centrres of Fitness world in Aalborg on the basis of the size and equipments,Google
PureGym,G. S.,5,"This is from PureGym on Gugvej and Friis in Aalborg. They are some good and spacious centers with a lot of machines, so you don't feel like you are stalling during your training. On Gugvej there is good parking! Nice places.🤗",Google
PureGym,Mads Carlsen,4,"There are sometimes problems with groups of teenage boys who make noise, come in casual clothes, and are not there to train but to socialize and film videos for social media.

In addition, it is a center that is not too overcrowded, and has an OK amount of equipment for such a small center, and the surroundings are not too noisy as the premises are spread out.",Google
PureGym,Jan Eliasen,4,Spinning on Thursdays - always good 🙂,Google
PureGym,Finn Thoft Jensen,3,"The training and the facilities are ok, but the last two times I've been there there has been a lack of toilet paper and/or paper towels in the men's changing room. The cleaning has not been ok either.",Google
PureGym,Oliver Bastholm,4,"A good, big center, with almost everything you could need.",Google
PureGym,Anita Hummelshøj Mikkelsen,5,Good service. Versatile options for training. Good mood. Room for everyone.,Google
PureGym,Oskar Korsgaard,3,"Super good service, but I think there are too few bench press racks and too few toilets, this may well cause a lot of waiting time, there could also be more water dispensers around, with this the prices also start to become too high, otherwise a fine training place.",Google
PureGym,Tobias Aarup,4,Too little space when it is busy and not enough machines. But otherwise I think there is a nice variety and the machines are in good condition,Google
PureGym,Christian Jensen,1,"Bad parking conditions. Had to stop at Lidl and when I got to the center the door was locked - Normally it's not a problem, but this center apparently requires a special chip in the card that can only be obtained during opening hours. This was not stated on the website!",Google
PureGym,Chris Bateman,5,"Paid for a single session whilst on holiday. Was 49kr for a single or I think 100-109kr for a week.

Well equipped and big gym with friendly staff.",Google
PureGym,María Victoria Elola,5,I really like training here. Everything is clean and in good conditions. The equipment is great; there are many options. The staff is very friendly and always makes you feel comfortable.,Google
