ID,text,rating,enterprise,Not Determined,Staff,Equipment,Hygiene,Location
227,"Every thing nice except toilets... discussing, all the time smell and look like sh**. I understand people sweat (including me) at gym and that don’t bother me. This toilets beg for ventilation!!!",2.0,PureGym,0.0,,,-1.0,
228,"The center at Dannebrosgade made my subscription go from 99 kr, to 259 kr. An increase of 161% the price.They try to buy every succesfull center in Odense, to dominate the market, and then it becomes worse from there.They also have Urban Gym which started at 99 kr, but is now 119 kr or something, even though they said they would not raise the price in the beginning.",1.0,PureGym,-1.0,,,,
229,"They offered me a price for the first two months of 99kr but then they asked me for pay the full price for the second month and they didn't fix this yet, so they lie in their offers.",1.0,PureGym,-1.0,,,,
230,"Clean and spacious, but some equipment could be a bit newer or more well maintained. The locker rooms are quite small here.",4.0,PureGym,0.0,,-1.0,1.0,
231,Love this gym! People are very friendly and helpful. Love the atmosphere. My fiancé and I come here daily and it's really good.,5.0,PureGym,1.0,1.0,,,
232,"Very bad fitness centre,  old treadmills, majority of them shake badly as there's an earthquake.Weighing machine is out of order since months.Congested and unhygienic equipment placement.Not recommended at all, better look somewhere else :(",1.0,PureGym,-1.0,,-1.0,-1.0,
233,"It's a great gym. The place is clean and the staff are nice and helpful. There is a nice selection of machines and other equipment, and everything is in working order except for on rare occasions.All in all I am happy that I chose this gym and I will keep coming here for a while.",5.0,PureGym,1.0,1.0,1.0,1.0,
234,I broke my back,4.0,PureGym,-1.0,,,,
235,It's a small but great center. The staff is friendly and nice. I have been at this center for over one year.,5.0,PureGym,1.0,1.0,,,
236,"I do not want to NEVER return to this center, unfortunate at first impression is what counts, although the teachers do a great job, if the receptionist shows her worst education and humor on a Saturday at 8 in the morning when you go happy to your  bike class and they ruin your morning because they almost treated you as a ""thief"" for taking a bike shoe (which of course you paid for before) from the counter (where in ALL the Odense centers of Fitness world you only go and take them) to  exception of the center of Tarupvej where you have to wait (even if you don't have time to wait because nobody and nobody is around to answer your call) that the receptionist comes to carry out the ""simple"" task of passing your shoes because you are not ""authorized""  to cross that very important and impenetrable downtown area !!!!",1.0,PureGym,-1.0,-1.0,,,
237,A great place to work out. Professional and friendly staff who's always ready to help out. Can definitely recommend.,5.0,PureGym,,1.0,,,
238,"We were, as so many times before, over and training on Sunday 12 March. It was a short pleasure, however, as it was cold and the fans were running at full blast. We chose to drive home and spend Sunday at home rather than get sick in the process.",2.0,PureGym,0.0,,,,
239,Nice center with friendly staff. Messes up a bit from time to time though,5.0,PureGym,,1.0,,-1.0,
240,Gloves for boxing are very bad,1.0,PureGym,-1.0,,-1.0,,
241,"Very friendly staff.  This is good but classes seem to be very early (4-5-6 in the evening) also in the  female changing room only 2 showers working, 2!!! With the amount of users there should be at least 4 and only 1 toilet. But staff and monitors very friendly.",3.0,PureGym,1.0,1.0,-1.0,,
242,"Bit crowded in the afternoon, but this always happens when starting the new year",3.0,PureGym,0.0,,,,-1.0
243,Horrible placement and expensive subscription. No staff there to help either.,2.0,PureGym,-1.0,-1.0,,,-1.0
244,"Nice gym, friendly staff and much of a space.",4.0,PureGym,1.0,1.0,,,
245,I love it,5.0,PureGym,1.0,,,,
246,"I was a very very busy member approximately 7/8 years ago 👍👍 Now I am better and I’m back to probably one of the best gyms I know of ( I’ve been to gyms in Austria, Spain and Germany ) it’s primarily always down to the standard of the machines and the openness, helpfulness,friendliness of the staff 👏👏👏 take a bow 👌👍The personal may have changed from years ago but the “standard” has not 👌",5.0,PureGym,1.0,1.0,1.0,,
247,"Train here every other day, and it's an amazing place, with nice staff. However the all in membership vending machine is broken.",4.0,PureGym,1.0,1.0,1.0,,
248,"Nice place, good environment, not too busy",5.0,PureGym,1.0,,,,
249,"Bondovej gym has been my regular and favorite gym for the last 2 years. Primarily because, in my opinion, it is the best pure gym center in this part of Odense🙃equipment :there is a lot of different equipment to choose from and it mainly consists of technogym plateloaded and machines as well as cable towers and there is a good mix of new and old, which appeals to me as I am a fan and often like the old equipment best. There is a sea of ​​grips and handles for the back and the same for the tricep and bicep. The only thing missing is a good seated cable row 🤫Atmosphere/premises:The center itself is divided into 3 large rooms with lots of space and high ceilings, it gives a nice spacious feeling even when there are many people. The division is great and is set up in a very logical context. The people are super nice and nice and there is really a feeling here that there is room for everyone! 🥰Service:The employees are just the nicest people and there is always time and energy for a hello or a little chat 🫠they are good at receiving rice and praise and listening to us users, so a huge pat on the back from here and keep having one of the best gyms in Odense😉",4.0,PureGym,1.0,1.0,1.0,,
250,"Sport is wonderful. I recommend it without any pretentiousness or show-off, just come and do a workout. Everything is there.",5.0,PureGym,1.0,,,,
251,"This gym offers all items, equipment and facilities that you would need. There are two big weightlifting areas (including barbells, dumbbells and machines), a big cardio area (treadmills, crosstrainer, stepper, cycles, ...), an area with the usual workout machines, a TRX area and in the one weightlifting area you have some open space to do your own workout (there are spinning ropes, medicine balls, kettleballs, asults, ringes, etc.). Moreover there are two course rooms (1 for spinning, 1 for everything else). They offer a decent amount of fitness classes (the only thing I am missing is Body Combat). And I really like the 'freestyle' courses like Crossfit and Functional, because they include different equipments and are usually with only a few people so the trainer can focus on you. Everything is very clean, including the shower facilities. There is also a sauna and a steam bath. The ladies changing room comes with big mirrors, hair dryers and hair straightener. It's usually not to crowded and in my opinion super cheap (99 DKK for students).",4.0,SATS,1.0,,1.0,1.0,
252,Good gym for good people.,5.0,SATS,1.0,,,,
253,Every day is biceps day,5.0,SATS,0.0,,,,
254,Love it,5.0,SATS,1.0,,,,
255,A nice training center with nice employees. There are always things that can be done better - e.g. it would be nice to have a water dispenser or more teams at the weekends. :)Overall a wildly delicious place to train.,4.0,SATS,0.0,1.0,,,
256,"Just a very bad gym. Staff don’t really care, don’t blame them tbh it’s miserable in here. All-in deal is bad value. Lots of equipment but the space is pretty sad and windowless",2.0,PureGym,0.0,-1.0,1.0,,
257,"An Unhygienic Coronavirus Petri Dish.I have been working out in several Fitness world centers around Copenhagen, and when it comes to basic matters of hygiene, this center is the worst. I have visited the center a couple of times so what I describe here is not an outlier.There is an extreme limited number cleaning liquid dispensers - usually 1 or 2 per large roomNobody cleans their equipment after use. Nor does the staff encourage basic hygienic behavior.I have not at any point seen any employees go about doing their cleaning routine.I find this lack of responsibility astounding since we are in the middle of a hotspot in the middle of a pandemic. I have visited other fitness world centers that do take their responsibility seriously.",1.0,PureGym,-1.0,,,-1.0,
258,"In a huge gym there is only one hair dryer and it’s not working. I asked the staff to fix it one week ago and they told me they will replace it immediately. Today still the same problem and it’s even dangerous as the wire is open. I told the staff guy that I suffered from sinusitis and have to blow my long hair. I even asked him to give me the one in the women’s changing room for few minutes. He said the hair dryer is fixed. When I asked him how is it possible that in such a huge gym there is no other hair dryer, he told me that they didn’t bring the new hair dryer yet and there is no other one. Unacceptable.",1.0,PureGym,-1.0,,-1.0,,
259,"It's a great gym with basically everything you could want or need, there is access to lockers both in the dressing rooms and when you enter the center. You enter using a card or bracelet, which is great since it's open 24/7. The only bad thing is that some of the members, don't put their plates and dumbbells back where they belong.",5.0,PureGym,0.0,,1.0,-1.0,
260,"The gym is great, spacious and has everything, and the personel is friendly and helpful.However, the gym members are often not aware at all of gym etiquette: sharing gym equipment, respecting common spaces to allow other users to access the equipment, or even being just nice and polite. It's happened to me that I asked a user if I could borrow the dumbbells for a quick set after he finished a set, to which he reacted angrily saying that they were his and I had to wait for him to be done. When expressing my surprise and thinking he was rude, he chased me to ask me angrily what he did wrong, he's using them, they're his, what's wrong with that? I tried to explain that I only needed them for one set as he was done with his, while he was resting, since there were no other available. To which he replied that I could go to the other end of the gym to get the same ones, and he does not see why he has to share them with me since he is using them. I trained with other weights, and after I finished my 3 sets, he was still not done with the weights. So, I could have waited a long time for him to be done. That's just one example among many others. Very often people train right in front of the dumbbells rack, admiring themselves in the mirror, hence occupying the whole area in front of the rack and not allowing anyone to pick dumbbells. Once I tried to explain, and just received an angry answer that he moved away so there was space, why am I making a problem? He didn't see any problem. But at this stage, I think it's just a problem of education and behaviour in common spaces, more than a lack of knowledge about gym etiquette.Moreover, many users do not even respect the gym's clearly specified rules at all: no training with your bag in the gym, no outdoor shoes for training, using disposable shoe covers when entering the gym, or cleaning the equipment after use. Obviously, training during peak hours is a nightmare, and it is best to train when it is less crowded.",3.0,PureGym,0.0,1.0,,,
261,All modern equipment are available at a reasonable subscription rate. Definitely I will join soon.,5.0,PureGym,,,1.0,,
262,"Good facilities, but it is in dire need of better climate control. It's only about 19c outside now but the inside the gym is burning (when doing workouts obviously). The group hall is even worse because they're not allowed to open the windows.",3.0,PureGym,,,,,0.0
263,"Signed up and regretted my subscription within the 14 days cancellation period. I had a very, very hard time getting them to understand that I should not pay for the rest of the month + 1 month if I cancelled within 14 days (they even asked if I had actually READ their terms, which I had ... and turned out their center-leader had not, which was very awkward for her). I can't recommend Fitness World.",1.0,PureGym,-1.0,,,,
264,Huge training space. Good quality classes. Would be great for me if instructor use a little bit of English too for the people who don't speak danish.I like fitness world.,5.0,PureGym,1.0,1.0,,,
265,"I checked on their website that they are open and offer one-time visit. I came, waited for 10 minutes - no administrator appeared (the client/members were there), and then I left this place.",1.0,PureGym,-1.0,-1.0,,,
266,"If it possible to give 0 star a will, i cancel my membership and tell the staff in the gym that i gonna move to another city, the say ok but the money for February we cannot give it to you back(i train 1 time in February), i say ok just cancel me member the say ok, now 01.03.2023 the received from my card again 239 for nothing!!, i’am in another city i cant go to the gym and they still received from my card money, stupid rules and the manager who say to me in February you will not pay anymore is lier. I will never ever update my membership again in your gym, (take my money for nothing).",1.0,PureGym,-1.0,-1.0,,,
267,"The Studio is not in best Shape. As Many before me wrote: it’s very small, the devices are packed!! Could be a lot cleaner - especially the toilets.But what bothered me most is the very little amount of training devices: Not a big selection to choose from and therefore missed a lot of my usual training equipment.The biggest critique point for me is the age of the devices: they are all old, especially the Steppers on the second floor are A NIGHTMARE. Everything could be a lot more modern.Also big critique: the staff literally has no idea about nothing. You get different info everywhere, they don’t know anything about the contracts or what info you need to sign up for a membership. Also found all of them to have a certain „annoyed“ attitude.I am really truly disappointed in the Studio especially because from outside it gave such a nice impression.Will go to another fitness world studio in the future and hope that the next one will be more modern and clean und the staff maybe a little more educated.",1.0,PureGym,-1.0,-1.0,-1.0,-1.0,
268,Watch out! In the mens changing rooms there are someone unscrewing the locks so they can open the lockers even if you have your own lock on.This has been a big problem over the last year. And Fitness World do not inform you about this!!!!,2.0,PureGym,-1.0,,,,
269,"Attention! I have noticed some screws missing in the locks of the locker room (males). This allows the door to be opened even with a lock. Always choose a locker with screws as the screws cannot be removed with a lock on. Also, booking system is problematic.",1.0,PureGym,-1.0,,-1.0,,
270,It’s clean and well equipped.,5.0,PureGym,1.0,,1.0,1.0,
271,Relative okay gym. Matrix machines are not the best and the Nautilus were better before renovation. Dumbbells are not put in the correct location and it is always overcrowded. Not enough machines compared to the demand.,3.0,PureGym,0.0,,-1.0,,
272,They changed the cost of a guest fee from 50kr to 69kr and the new Matrix equipment is so so so uncomfortable. Since PureGym took over this place it is easily the worst gym in Østerbro!,1.0,PureGym,-1.0,,-1.0,,
273,Go-to location.Very spacious and always clean.Staff are nice and helpful.And overall atmosphere is very easy going yet focused and motivating :)Check it out yourself though,4.0,PureGym,1.0,1.0,,1.0,
274,"Nice location, but very small center compared to how many people train there. You have to be lucky sometimes to get a treadmill. It has been a chronic problem since I started there last summer that many treadmills do not work, and unfortunately it is only getting worse. Has a good area in the basement for stretching",2.0,PureGym,-1.0,,-1.0,,1.0
275,"Top gym ! Top équipement, ideal for foreigners as it is possible to get daily / weekly pass.",5.0,PureGym,1.0,,,,
276,Very nice gym. I got a week pass for 110 dkk or something like that wich is really surprisingly cheap for this quality gym. You can also do daily passes. The only thing to bear in mind that after 6pm and on the weekends there is no one to check you in so come before if you want to singup and then you can use the gym using a card until midnight.,5.0,PureGym,0.0,,,,
277,well appointed gym; not crowded midmorning,5.0,PureGym,1.0,,,,
278,"Never really too busy but it is quite small. Like alot of fitness worlds it could update the machines.Generally its very clean, its one of the better fitness worlds.",4.0,PureGym,0.0,,-1.0,1.0,
279,Gym has only very limited service times. Impossible to workout after this time if you only want to workout for a day.,1.0,PureGym,-1.0,,,,
280,Great Gym- I was a bit nervous as this is my first time to a gym in Denmark but the front staff was very friendly and helpful. For 99DKK I could get a pass for a week. It opens from 5:30 AM to 10:00 PM. The timing showed in google is when front staff is available. You need an access card to enter so if you are first times from overseas go after 8:00 AM so staff can open the door for you.,5.0,PureGym,,1.0,,,
281,"Medium cleanliness, too few barbell racks compared to the total area this gym covers. Could be better, could be worse. It has never been too crowded and the clientele is nice.",3.0,PureGym,1.0,,-1.0,-1.0,
282,"They always play games with pricing. Claim it's 134,50/month, then want to charge 143,18 with no explanation of the extra fee. It's clear you simply can't trust Fitness World.",1.0,PureGym,-1.0,,,,
283,"This gym is very clean, not overcrowded and reasonably priced. Give it a try.",5.0,PureGym,1.0,,,1.0,
284,"If you wish to pick up heavy things and put them down again in the ugliest building in town you've come to the right place. This place has it all! It's got infinite running things, stay-still-pedallers, heavy handles, pull ropes, hard-to-pick-up-if-you're-weak balls, make-your-life-difficult machines and hulahoops. All are kept well maintained and on a leash if necessary. According to rumors, there are also classes for different things but I don't know anything about that. Get the app,  it helps with stuff I've never used and looks nice.*EDIT* I'm revoking a star for no longer being open 24 hours! I wanna lift at night! Otherwise, no change.",3.0,PureGym,1.0,1.0,1.0,,
285,"399 kroner for 1 month or 75 kroner for 1 day.  No commitment or long-term contract.  The gym has everything you could want, everything is new and very nice.  Staff is also very good.  Highly recommend.",5.0,PureGym,1.0,1.0,,1.0,
286,"Air conditioning is not turned on. Instead they put a couple of fans around the gym, which just move hot air around. Not super clean but I've been to worse places. Some machines are broken for weeks without maintenance.Good thing is that people put the weights back",3.0,PureGym,-1.0,,-1.0,-1.0,
287,"Nice place for a work out. Clean. Fairly good equipments. Within the price range of other facilities. A bit under-staffed, in my opinion. Difficult to find someone to ask a question. And even If you find someone, It is not sure you will get an answer...",4.0,PureGym,,1.0,1.0,1.0,1.0
288,Visited this gym during my vacation. It has Seen better times but Its still good to get some gains:-),4.0,PureGym,0.0,,,,
289,Had my membership cancelled in the counter in proper time but still had to pay additional month.,1.0,PureGym,-1.0,,,,
290,"One can talk about broken machines or dirt in the changing rooms, but I realize that things can't be ideal all the time. So I'd say it all goes relatively well until one needs to talk to someone beyond the helping guys in the centre. The company doesn't have a phone number to call. They have a chat, which main purpose seems to relay a message ""Fill in the online contact form"". When you do, there is a waiting time from hours to days. And if you get an answer, it never changes regardless whether you can prove them wrong or lying. They merely stop responding. And there's nothing you can say to someone who is not willing to listen.",1.0,PureGym,-1.0,,,,
291,"Is the busiest fitness world what i ever seen before . It’s absolutely desastre. I cannot workout normally… today i make for 1h - just 3 exercises. I recommend to nobody subscribe there . They don’t care about the occupancy… (may be we need new covid pandemy) sale and sale new memberships. Also they grow up with the price ? For what? Unfortunately I’m looking for other place with a months; just here is noone option. I hope other companies make good the marketing. Repeat: not subscribe in this gym you will sorry a lot 😪 doesn’t matter the day; weekends ; evenings or mornings all the time is full full full , no one place free to work ! You pay your money for nothing!",1.0,PureGym,-1.0,,,,
292,Unfortunately this gym has been severely worsened by the “upgrade” in connection with the change to PureGym.The machines (Matrix) are really bad and it seems that there’s less equipment too.Will not be coming back.,1.0,PureGym,-1.0,,-1.0,,
293,"Really like this gym,  I just think it gets a bit dirty. They vacuum every day but that seems to be it.  A lot of equipment and different types: machines,  free weights, kettle bells, balls etc... and great space too",4.0,PureGym,1.0,,1.0,-1.0,
294,"They should put more space to park the bikes, it is very busy in the afternoon and I didn't like that they made me take off my shoes when that rule is not written anywhere",2.0,PureGym,-1.0,,,,
295,"Very nice gym with brand new machines. Very clean, paint is all new and staff is super nice.Price is also great.",5.0,PureGym,1.0,1.0,1.0,1.0,
296,"Ok gym for a chain. Slection of machines is good, slection of classes not so good. Not crowded. Highlight is the two squash terrains. Downside - you cant reserve them online if you're not a squash member. Fitness membership doesnt help, you have to have a seperate squash membership.",3.0,PureGym,-1.0,,1.0,,
297,"Jesus Christ..this place needs a deep cleaning !!!!  The shower is full of spiderwebs, the mats were all very wet of sweat..Be careful at the room were they do boxing the wood floor is very slipperyNot enough  hygge but:Friendly employees !Cool time at the boxing class!",1.0,PureGym,0.0,1.0,,-1.0,
298,"I give 1 star more than #fitnessworld actually deserves for the great ""hold"" instructors. Otherwise it is a poor service fitness center that want to rip you off at every turn. I got a special offer when I signed up because it was FW birthday - ""All-in"" free for one month. It was the end of month and I did not get to use it at all. But to my big astonishment, it was an opt-in subscription service, so I was actually billed for the next month without even being notified beforehand! I cancelled it right away but I had to pay for that month anyway. So I used it a few times. And here comes the next surprise - again I was billed for the product I ""bought"" on top of my monthly fee.I am asking, is that what a reputable fitness chain do? I doubt..",2.0,PureGym,-1.0,-1.0,,,
299,"One of the better fitness worlds, nice and open, high ceilings, nice facilities.Only thing that stopped it being 5 stars is the lack of cleanliness in the bathroom/shower areas sometimes",4.0,PureGym,0.0,,,-1.0,
300,"Great place to work out, the Dance Fit class was really good.  But as with all FW centers a good cleaning, would be great!",3.0,PureGym,1.0,,,-1.0,
301,"I was told one thing in English, then made sign something else in Danish, so they could charge me for time I wasn't even in Denmark",1.0,PureGym,-1.0,,,,
326,"I was told one thing in English, then made sign something else in Danish, so they could charge me for time I wasn't even in Denmark",1.0,PureGym,-1.0,,,,
302,"Pretty much every type of training equipment you find yourself needing. It is open 24/7 and has a nice system for entering and exiting. The place is clean and neat, and the atmoshpere is relaxed. A special plus about this center is the high ceilings making the air circulation very nice. Staff is always smiling and friendly, never felt that it was overcrowded with visitors, even at peak hours.",5.0,PureGym,1.0,1.0,1.0,1.0,
303,"One of the best places to train in Denmark. Many locations specially in Copenhagen, with good equipment.",5.0,PureGym,,,1.0,,1.0
304,"These 5 stars are for the hardworking staff who make this gym shine. If by some chance they have been laid off or furloughed due to the pandemic, please hire them all again.",5.0,PureGym,,1.0,,,
305,This place is really nice... has tons of machines to use and is open 24hr. Perfect if your trying to avoid the crowds.,5.0,PureGym,1.0,,1.0,,
306,"Englandsvej, It's good and I enjoy training there with different machines BUT I didn't give 5 stars because we have to refill our water bottles from the toilet sink!Hope they will make a separate place for water.",3.0,PureGym,0.0,,1.0,-1.0,1.0
307,"Yet another Fitness World center, which have been worsened by the PureGym-makeover.Strenght training has been compressed into too little space and instead they added a lot of useless cardio equipment for amateurs. It’s becoming more and more clear that the latter is the clientele which PureGyms wants to cater to - not us, who consistently go to the gym +5 times a week.It’s such a pity with this systematic destruction of the relatively few good gyms we have.",1.0,PureGym,-1.0,,,,
308,"Great place and great staff, also Victor was very helpful ans answered all my questions very nice",5.0,PureGym,1.0,1.0,,,
309,"After renovation they made an ""open office"" environment in the changing room. Bizarre. And still no soap or shampoo in the shower.",4.0,PureGym,-1.0,,,,
310,"Excellent gym. Many locations, good value for money, friendly staff, well equiped and huge variety of classes.",5.0,PureGym,1.0,1.0,1.0,,
311,"As someone who have been in all FW's in Copenhagen, this place is by far the most horrid. Rude staff who seems like they hate their life. They lack a total grasp on how to give service (Talking ESPECIALLY the female ones). There is also ZERO atmosphere and place is very dirty and STINKS  utterly on each of its three (Small) floors . Just find another place than this, because this place is so outrageously bad it drains you from all motivation. Not exaggerating.",1.0,PureGym,-1.0,-1.0,,-1.0,
312,Good gym!,5.0,PureGym,1.0,,,,
313,"Okay, it would however be really nice to have an indicator somewhere of how crowded it is. Also sometimes they play the music really loud (so loud that with headphones with noise cancelling even at the highest volume I can still hear it). Not even mentioning the music taste 😶.",3.0,PureGym,-1.0,,,,
314,"This place is great!They have all you need and they're open 24 hours, if it was even a bit dirty it's because lazy members do not know how to behave! People working there are trainers and office staff they are not your slave and they are not there to clean you mess! But there is one thing that drives me crazy and I was trying to ignore it but it is a bit hard now... the music when the staff leaves. If any staff employee of FW is reading it, can you PLEASE contact the staff in this gym and asked them to when they leave at 8 PM maybe set some radio or some motivational music? There was this one day that the song got stuck it was play allllllllllll night long, the same one song, and it was not even a good one, and literally after 40 mins I left coz not even my headphones helped. And yesterday there was some country music. In general after 8 there is always ""not the best music"" and I think if it's like this I'd prefer to work out in silence.But otherwise as I mentioned great place.",4.0,PureGym,0.0,1.0,,,
315,"The fitness center has been improved in the last months. Still no classes though. Otherwise, it has all the needed facilities for full body training. Third floor is the best one! Free weights! :)",4.0,PureGym,0.0,,1.0,,
316,"A lot of young people go to this gym, and don't appreciate or follow gym etiquette. Often leaving weights where they use them, don't clean the machines after use and often sit for a long time looking at their phones. The gym is not staffed all the time and so no one tells these children to clean up after themselves.Otherwise the gym is fine with modern and working machines. It can be a little cramped in some areas where the free weights are used, but this wouldn't be a problem if people were not so entitled and treated it like their personal gym.",2.0,PureGym,0.0,,1.0,,
317,"The average age of the members in this gym must be somewhere around 17/18 at the most. Its pretty close to a folkeskole, hence you'll find alot of kids and teenagers in this gym.They come in large groups and take all the space (in an already very small gym) by basically playing around, acting like they're at a playground.Other than that, the gym is very dirty and messy (This is also due to most of these teenagers neither sanitizing/cleaning up after themselves) and the music is too loud as well as being very poorly choiced songs.",1.0,PureGym,-1.0,,,-1.0,
318,"Not large, but never really crowded. The most spotless fitness club I've been to.... They are constantly cleaning and members take care of the equipment also.",5.0,PureGym,1.0,,,1.0,
319,"Good place, fun courses. However, some of the info is hard to access, as most of it is in Danish only. Sometimes courses get cancelled, and I do not receive a message about it, although I have signed up.",4.0,PureGym,0.0,,,,
320,"Good fitness center with weekly memberships, perfect as a tourist. Many Courses and access to every center they have (and they have many in Copenhagen).",5.0,PureGym,1.0,,,,
321,"I think it's a great gym in regards to value price. Unfortunately there is no many branches. The gym is quite well equipped even with small basketball court, punch bag and paper towels. The whole gym has the urban vibe. I think it's good alternative to the well known ones in Denmark. The air ventilation does not seem to work properly, though.",5.0,PureGym,0.0,,1.0,,
322,"One star just for the nice location. The service ended his shift 10mins early and completely ignored me and another costumer waiting on the counter. The machines are mostly so old, they must be from the 90s. Not recommendable.",2.0,PureGym,,-1.0,-1.0,,1.0
323,"I'm shocked after reading reviews that are just 3 years old (urban gym) compared to today. Looks like it was a nice location some time ago. Since the last years the gym changed 3 times the owner. Now it's puregym and it's just disgusting. Staff (if someone is there, after 6 no one is working) is unfriendly and lazy, not motivated to help you at all. No introduction when I started there, no refund  after problems with the snack vending machines.While heavy rain you can enjoy a shower from the roof. It's dirty as hell, everything sticks and it's disgusting to touch. And that's for all areas. Feels like the changing room is cleaned ones a week or less.Most of the cardio machines are not working properly and cleaned max one time a day. It took 6 weeks to fix 3 bikes and 2 cross trainers. But still all of them have miss functions with the computer. To get the heart rate is a lottery and the rest of the numbers is also not working correctly. There is not even one digital clock in that gym, so smartphone or smartwatch is a must if numbers and timing is important.If you want to take a class, good luck. There are just 2 offers at 3 dates in the week. But you pay for it.I don't get why this location is one of the most expensive ones and I need to pay extra to train there. It's just scam and the worst gym I joined in the last 20 years.So if you just move some irons and have lot's of experience it's totally fine to train with that old rubbish. With less experience and focus on different things you are totally lost.The only good thing are the other people, most of them are friendly. The gym itself is just disgusting and not worth the money. That's just the review for that certain location.",1.0,PureGym,-1.0,-1.0,-1.0,-1.0,
324,Quite small. The free workout area is quite large,3.0,PureGym,0.0,,,,
325,"Great gym for the price and accessibility. Very well cleaned and maintained with all the equipment you would ever need. Large free training area, kettlebells, plenty of barbells and plates.",4.0,PureGym,1.0,,1.0,1.0,
327,Great gym. 7 day free pass was available for traveling,5.0,PureGym,1.0,,,,
328,"Terrible.They changes my membership 2 times without me telling to do so.First time i has to pay a supplement of 100 dkk because a mistake of one of the brilliant guys working there.Second time they set my main gym elsewhere, so today i had to pay 30dkk extra to go to the gym i usually go.On top of that, the first mess they did was not fixed. It is impressive how Fitness World hire the brightest minds in Denmark.",1.0,PureGym,-1.0,-1.0,,,
329,Best FW center I have been too. Really clean and functional. The equipment is new and everything is in one floor. The only cons are the lack of hold classes.,5.0,PureGym,-1.0,,1.0,1.0,
330,Great place quiet a lot of space and all equipments are present.,4.0,PureGym,1.0,,1.0,,
331,Please fix the gymnastic rings 🙏🙏 Otherwise decent gym.,2.0,PureGym,1.0,,-1.0,,
332,Weeks like this.,1.0,PureGym,0.0,,,,
333,"I've worked out in three different gyms in Copenhagen and this one was clearly the worst. There aren't enough showers in the men's locker rooms and they are incredibly wastefull in water. Another low point is the door system letting you in the gym, which keeps denying you the entrance if you're not perfectly positioned inside the cabin - too much fuss for nothing. Also, there are many annoying teenagers that aren't there for serious training, they're loud and using the equipment for fun while other people want to go on with their workout.Otherwise the amenities for the workout per se are good and various.",3.0,PureGym,0.0,,1.0,-1.0,
334,"Service has improved for the last 6 months, better management. However the audience that comes there is poor,  people are aggressive, taken several machines at once,  or sitting on one machine for ages prohibiting others from training, noisy, have no respect to others, often screaming . Needs some education on general public as many have no intelligence how to behave",1.0,PureGym,-1.0,1.0,,,
